<type 'list'>
40.70909948 -73.96607878 1645
40.71971004 -73.95006622 1610
40.76745756 -73.9580725 1598
40.8098998 -73.94205994 1586
40.79928924 -73.96607878 1583
40.76215228 -73.9180411 1579
40.80459452 -73.96607878 1562
40.77276284 -73.96607878 1545
40.7833734 -73.98209134 1526
40.79398396 -73.97408506 1514
40.79398396 -73.96607878 1490
40.7037942 -74.00611018 1480
40.7303206 -73.9580725 1476
40.8098998 -73.95006622 1438
40.78867868 -73.94205994 1374
40.756847 -73.92604738 1368
40.79398396 -73.94205994 1324
40.71971004 -73.96607878 1313
40.76215228 -73.92604738 1313
40.79928924 -73.94205994 1309
40.73562588 -74.03012902 1299
40.79928924 -73.95006622 1266
40.74623644 -73.88601598 1242
40.77276284 -73.99009762 1233
40.70909948 -73.9981039 1224
40.7037942 -73.9180411 1196
40.7037942 -73.91003482 1184
40.80459452 -73.9580725 1147
40.80459452 -73.95006622 1147
40.72501532 -73.94205994 1144
40.7037942 -73.94205994 1142
40.71971004 -73.94205994 1118
40.76745756 -73.9180411 1075
40.74623644 -73.95006622 1066
40.756847 -73.9180411 1063
40.79928924 -73.93405366 1063
40.69848892 -73.92604738 1051
40.74093116 -74.03012902 1049
40.70909948 -73.9180411 1045
40.79928924 -73.9580725 1033
40.71971004 -74.01411646 1015
40.74623644 -73.89402226 1015
40.71971004 -74.04614158 1007
40.7303206 -73.97408506 996
40.72501532 -73.97408506 979
40.75154172 -73.94205994 959
40.76745756 -73.95006622 958
40.73562588 -73.9580725 951
40.74623644 -73.9580725 925
40.74623644 -73.90202854 918
40.7037942 -73.9981039 907
40.8098998 -73.9180411 877
40.74093116 -73.88601598 872
40.74093116 -73.9180411 867
40.76745756 -73.92604738 863
40.77276284 -73.91003482 859
40.75154172 -73.88601598 851
40.8098998 -73.9580725 839
40.79398396 -73.95006622 835
40.71440476 -73.98209134 833
40.74623644 -73.9180411 829
40.77276284 -73.9180411 823
40.76745756 -73.9981039 820
40.756847 -73.88601598 819
40.75154172 -73.96607878 815
40.69848892 -73.9180411 811
40.74093116 -73.97408506 804
40.70909948 -73.99009762 799
40.7037942 -73.90202854 782
