@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute AvgPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute TheRatioOfPeopleToPhoto real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute Top10PhotoLocationNameFreq real
@attribute Top3PhotoLocationNameSame real
@attribute ID string
@attribute label {1,-1}
@data
43.2 , 0.0327591033879 , 527.898255426 , 1.0 , 2.42146847448 , 0.4 , 6.57988518896 , 2.49612685475 , 13.2 , 1.68375792896 , 1.63431234658 , 1.0095884012 , 0.25 , 0.25 , 0.25 , 4 , 4 , 4 , 0.6 , 1 , 51148308c2a3754cfe668f8e , 1
21.3 , 0.0561462766541 , 185.415210512 , 1.0 , 5.86843189721 , 0.6 , 5.40215365069 , 2.39428114771 , 22.9 , 4.10931136386 , 2.31258033991 , 0.56497564048 , 0.5 , 0.714285714286 , 2.0 , 10 , 7 , 1 , 0.7 , 1 , 51147952c2a3754cfe6684ee , 1
51.0 , 0.28901567572 , 502.06255212 , 1.0 , 2.1774615157 , 0.2 , 3.63233361713 , 2.86557685521 , 1.5 , 1.08981714187 , 0.64637209306 , 0.605522151291 , 0.0 , 0.5 , 1.5 , 2 , 2 , 2 , 0.3 , 0 , 51147facc2a3754cfe668c48 , 1
67.7 , 0.23926386181 , 625.373708387 , 1.0 , 0.951286709564 , 0.233333333333 , 6.15304147896 , 2.7528553052 , 4.1 , 1.5846094874 , 1.10887917783 , 1.08981714187 , 0.833333333333 , 1.5 , 0.0 , 6 , 2 , 2 , 0.2 , 0 , 51148bb8c2a3754cfe669bd6 , 1
42.0 , 0.00432696254381 , 481.896657908 , 1.0 , 1.21359213603 , 0.6 , 5.04711108513 , 2.2450986816 , 6.1 , 4.13074958316 , 2.8933862408 , 0.605522151291 , 1.2 , 1.2 , 1.6 , 10 , 10 , 5 , 0.7 , 0 , 51148712c2a3754cfe669570 , 1
95.0 , 0.259152478842 , 672.377188086 , 1.0 , 1.81670929946 , 0.2 , 3.68468385103 , 2.7528553052 , 2.0 , 0.864124091505 , 0.625696422169 , 0.62375430697 , 0.5 , 0.0 , 0.5 , 2 , 2 , 2 , 0.2 , 0 , 51148a80c2a3754cfe66997f , 1
50.0 , 0.13135522665 , 547.181952775 , 1.0 , 3.00913386378 , 0.433333333333 , 3.78112761007 , 2.53585777592 , 5.3 , 2.53719612995 , 1.24750861394 , 0.831416045601 , 0.714285714286 , 0.714285714286 , 2.0 , 7 , 7 , 3 , 0.7 , 0 , 51147caac2a3754cfe668801 , 1
36.0 , 0.0359379111105 , 505.780815551 , 1.0 , 2.6849495669 , 0.466666666667 , 4.61417183559 , 2.2450986816 , 3.6 , 3.02761075646 , 2.3344635759 , 2.17963428374 , 0.4 , 0.4 , 0.25 , 5 , 5 , 4 , 0.4 , 0 , 51148f61c2a3754cfe66a1aa , 1
46.8 , 0.148290300319 , 570.700279207 , 1.0 , 1.36387696242 , 0.4 , 3.96707818263 , 2.77560285813 , 3.6 , 2.17963428374 , 1.6944252278 , 1.55829490542 , 0.6 , 0.2 , 0.0 , 5 , 5 , 4 , 0.0 , 0 , 51148d4dc2a3754cfe669e6d , 1
45.1 , 0.28830938317 , 633.290097319 , 1.0 , 2.39012289642 , 0.233333333333 , 5.42520021277 , 2.86557685521 , 12.2 , 1.40067814554 , 1.21104430258 , 0.586865219281 , 0.333333333333 , 0.0 , 0.0 , 3 , 2 , 2 , 0.3 , 0 , 51147a4fc2a3754cfe66858e , 1
95.2 , 0.248087888305 , 410.749838143 , 1.0 , 1.80496591753 , 0.133333333333 , 6.85806431164 , 2.7528553052 , 1.0 , 0.665038481018 , 0.62375430697 , 0.62375430697 , 3.5 , 4.0 , 0.0 , 2 , 1 , 1 , 0.1 , 0 , 511486b7c2a3754cfe6694e2 , 1
28.8 , 0.344084654633 , 650.269685752 , 1.0 , 4.2701548 , 0.166666666667 , 3.03233671103 , 2.90530777637 , 3.1 , 0.725494655393 , 0.590107083308 , 0.435047342067 , 0.0 , 0.0 , 0.0 , 2 , 2 , 1 , 0.2 , 0 , 511479e7c2a3754cfe668564 , 1
46.1 , 0.372618475414 , 631.090282003 , 1.0 , 5.49254364912 , 0.2 , 4.07775856827 , 3.11583409216 , 5.3 , 1.08981714187 , 0.62375430697 , 0.622156506749 , 1.0 , 0.0 , 0.0 , 2 , 2 , 2 , 0.1 , 0 , 511478ebc2a3754cfe6684c5 , 1
37.3 , 0.137268995886 , 608.688781219 , 1.0 , 1.78465336887 , 0.233333333333 , 5.32656946884 , 2.80004461848 , 2.1 , 1.72824818301 , 0.605522151291 , 0.605522151291 , 0.5 , 0.333333333333 , 0.0 , 4 , 3 , 1 , 0.2 , 0 , 51148a6cc2a3754cfe669960 , 1
18.6 , 0.00891482392806 , 231.680698116 , 1.0 , 2.81010791547 , 0.4 , 5.7739281148 , 2.2450986816 , 5.8 , 1.08981714187 , 0.475593852878 , 0.368809789878 , 0.111111111111 , 0.666666666667 , 0.0 , 9 , 3 , 1 , 0.8 , 0 , 51147c8bc2a3754cfe6687e2 , 1
27.8 , 0.240969323003 , 509.730531138 , 1.0 , 2.35189042161 , 0.366666666667 , 4.24604537903 , 2.7528553052 , 3.7 , 3.02761075646 , 1.0432599389 , 1.02484925499 , 1.2 , 0.8 , 0.8 , 5 , 5 , 5 , 0.5 , 0 , 51147f9ac2a3754cfe668c31 , 1
75.7 , 0.150286764039 , 647.679388288 , 1.0 , 1.48357918304 , 0.2 , 4.04024079911 , 2.71532669877 , 1.3 , 1.12995128096 , 1.08981714187 , 0.980508400594 , 4.0 , 4.0 , 0.0 , 2 , 2 , 2 , 0.1 , 0 , 51148d70c2a3754cfe669ea6 , 1
50.7 , 0.223640540721 , 625.876286863 , 1.0 , 6.92265717723 , 0.266666666667 , 3.48752752123 , 2.7528553052 , 4.2 , 1.44073756332 , 1.3051420262 , 0.62375430697 , 0.666666666667 , 0.666666666667 , 0.0 , 3 , 3 , 2 , 0.4 , 1 , 51147969c2a3754cfe66850e , 1
42.6 , 0.395236541666 , 500.653689894 , 1.0 , 2.4846900849 , 0.433333333333 , 4.42870830155 , 2.81533377929 , 7.2 , 0.972266587711 , 0.836683867202 , 0.666134145633 , 0.833333333333 , 0.8 , 1.0 , 6 , 5 , 2 , 0.2 , 0 , 51147a63c2a3754cfe6685e4 , 1
60.6 , 0.219796999024 , 643.365629393 , 1.0 , 1.51765030688 , 0.133333333333 , 4.7951185022 , 2.80004461848 , 1.7 , 0.669434262362 , 0.62375430697 , 0.590107083308 , 1.0 , 1.0 , 0.0 , 2 , 1 , 1 , 0.1 , 0 , 51148d4fc2a3754cfe669e7a , 1
41.2 , 0.200084148891 , 660.905420221 , 1.0 , 0.63382674611 , 0.133333333333 , 14.72472183 , 2.76031369731 , 1.0 , 0.62375430697 , 0.590107083308 , 0.554439588914 , 1.66666666667 , 1.0 , 0.0 , 3 , 1 , 1 , 0.2 , 0 , 5114a47fc2a3754cfe66bb07 , 1
51.7 , 0.106140774013 , 651.369933208 , 1.0 , 1.67373936629 , 0.2 , 5.39258723728 , 2.53585777592 , 2.5 , 0.864124091505 , 0.605522151291 , 0.554439588914 , 1.0 , 2.0 , 0.0 , 2 , 2 , 2 , 0.3 , 0 , 51148abfc2a3754cfe6699ab , 1
41.3 , 0.239793409094 , 563.600529038 , 1.0 , 3.64514731633 , 0.4 , 4.41285726587 , 2.86032077783 , 3.9 , 1.2619855015 , 1.07979460213 , 0.742902886203 , 0.2 , 0.25 , 1.33333333333 , 5 , 4 , 3 , 0.4 , 0 , 511478c8c2a3754cfe6684a9 , 1
35.8 , 0.153047168335 , 618.94061035 , 1.0 , 1.03951254227 , 0.233333333333 , 5.18084780877 , 2.68732306847 , 1.5 , 1.24750861394 , 0.910228823227 , 0.690541061298 , 0.25 , 0.0 , 0.0 , 4 , 2 , 2 , 0.5 , 1 , 5114a33bc2a3754cfe66b985 , 1
34.25 , 0.214364862783 , 300.01376747 , 0.888888888889 , 1.14633592233 , 0.166666666667 , 6.25739295245 , 2.94770277922 , 1.0 , 0.851082431412 , 0.779692883713 , 0.737633854135 , 2.0 , 0.0 , 4.0 , 2 , 1 , 1 , 0.111111111111 , 0 , 51149ab2c2a3754cfe66af56 , 1
55.6 , 0.211447914613 , 521.894272464 , 1.0 , 2.64969140499 , 0.2 , 4.16583677706 , 2.71312438404 , 2.7 , 0.64836215923 , 0.605522151291 , 0.528203162468 , 0.5 , 0.0 , 0.0 , 2 , 2 , 2 , 0.2 , 0 , 51148241c2a3754cfe668ea4 , 1
65.5 , 0.33040160426 , 204.401044862 , 0.75 , 1.50406165672 , 0.277777777778 , 3.3472892634 , 2.98423416465 , 1.0 , 1.71297692701 , 1.51704803871 , 1.03959051162 , 4.5 , 2.5 , 8.0 , 2 , 2 , 1 , 0.125 , 0 , 51148d3ac2a3754cfe669e61 , 1
67.75 , 0.293324204878 , 389.726860748 , 0.8 , 1.62139470277 , 0.25 , 4.84214783408 , 2.90530777637 , 1.2 , 1.47526770827 , 1.28473269526 , 1.11992128804 , 5.5 , 5.5 , 0.5 , 2 , 2 , 2 , 0.4 , 0 , 511497d2c2a3754cfe66ac3b , 1
