@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute stat_StdPhotoDis real
@attribute AvgPhotoDis real
@attribute MeanPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute Top10PhotoLocationNameFreq real
@attribute PercentageOfTweetsWithTopWords real
@attribute diff_PercentageOfTweetsWithTopWords real
@attribute ID string
@attribute label {1,-1}
@data
38.2894736842 , 0.0697674134864 , 0.353652589343 , 7.64458908083 , 0.904761904762 , 3.29744336764 , 0.0877192982456 , 3.50694901975 , 2.95002946174 , -0.000601000864715 , 4.49021589483 , 0.196194367014 , 0.656583481022 , 0.287261807339 , 0.15934793455 , 0.75 , 0.75 , 1.5 , 4 , 4 , 4 , 0.4 , 0.0909090909091 , 0.0909090909091 , 51147abac2a3754cfe668648 , 1
43.4074074074 , 0.079507085069 , 0.298249888808 , 7.54864603981 , 0.931034482759 , 1.57666494696 , 0.0679012345679 , 6.48482959236 , 2.82790907415 , -0.0375474475345 , 3.748610102 , 0.128606619869 , 0.255755948629 , 0.218558179003 , 0.140886285715 , 2.66666666667 , 0.333333333333 , 0.0 , 6 , 3 , 2 , 0.5 , 0 , -0.125 , 511484f4c2a3754cfe66928a , 1
35.5882352941 , 0.142697466461 , 0.189876669712 , 7.75717310283 , 0.739130434783 , 0.69509890758 , 0.21568627451 , 21.5826054256 , 2.02520470625 , -0.01569006584 , 6.30362699483 , 1.82287694355 , 1.04136544113 , 0.961360203869 , 0.801018758976 , 0.125 , 0.4 , 0.0 , 8 , 5 , 3 , 0.1 , 0 , 0.0 , 5114940fc2a3754cfe66a76b , 1
36.7692307692 , 0.0736345620923 , 0.126988237044 , 7.89855259445 , 0.928571428571 , 1.68024682815 , 0.153846153846 , 5.55369085552 , 2.43426857323 , -0.156139653183 , 5.86167141031 , 0.289497266062 , 0.443656880035 , 0.434596646523 , 0.41916043918 , 5.5 , 4.5 , 4.5 , 2 , 2 , 2 , 0.4 , 0.111111111111 , 0.111111111111 , 51148d87c2a3754cfe669eae , 1
52.5238095238 , 0.0991578994446 , 0.155878531241 , 7.35643256647 , 0.933333333333 , 1.454194246 , 0.190476190476 , 5.47833706449 , 2.10218717095 , -0.130770575962 , 4.14183121256 , 0.281272997599 , 1.29754746705 , 0.96125657341 , 0.908180951557 , 3.78571428571 , 4.875 , 2.0 , 14 , 8 , 8 , 0.1 , 0.153846153846 , 0.153846153846 , 51148d6ec2a3754cfe669e96 , 1
64.3055555556 , 0.0867292189182 , 0.30270692787 , 7.41430428762 , 0.923076923077 , 3.64514731633 , 0.157407407407 , 4.41285726587 , 2.7957854946 , -0.00678842595565 , 4.28861283023 , 0.300613431866 , 0.420661833833 , 0.412723825669 , 0.324644771963 , 2.33333333333 , 1.5 , 2.0 , 6 , 6 , 6 , 0.9 , 0.2 , 0.0823529411765 , 511478c8c2a3754cfe6684a9 , 1
40.6333333333 , 0.0819063888124 , 0.300703842856 , 7.36726091682 , 0.909090909091 , 1.17851532484 , 0.188888888889 , 6.31685100617 , 2.67803170849 , 0.00268585834753 , 4.79218054846 , 0.586334997199 , 1.42678155863 , 0.697236556002 , 0.305925629608 , 0.888888888889 , 1.6 , 1.0 , 9 , 5 , 3 , 0.1 , 0.0 , 0.0 , 51148777c2a3754cfe669601 , 1
45.387755102 , 0.0876062475181 , 0.285817639318 , 7.5563688135 , 0.924528301887 , 3.00913386378 , 0.0952380952381 , 3.78112761007 , 2.72978658461 , -0.0740858782706 , 3.90093102582 , 0.347935542895 , 0.517795128561 , 0.254593594682 , 0.169676744 , 0.714285714286 , 0.714285714286 , 2.25 , 7 , 7 , 4 , 1.2 , 0.111111111111 , 0.111111111111 , 51147caac2a3754cfe668801 , 1
66.1855670103 , 0.104375348573 , 0.21085336071 , 7.33473331669 , 0.946341463415 , 6.69060897401 , 0.175257731959 , 4.19164506591 , 2.01017081807 , -0.100897799263 , 2.12627838721 , 0.196340146441 , 0.763082556779 , 0.712035597111 , 0.655061299406 , 3.21739130435 , 4.5 , 2.66666666667 , 46 , 36 , 36 , 5.9 , 0.166666666667 , 0.0771144278607 , 5114798cc2a3754cfe668532 , 1
42.5909090909 , 0.050814525766 , 0.357930405994 , 7.72501968963 , 0.916666666667 , 2.4846900849 , 0.0808080808081 , 4.42870830155 , 2.88822710328 , 0.0193198977861 , 3.22100328991 , 0.36664855343 , 0.227898529004 , 0.190155424364 , 0.189016456658 , 1.16666666667 , 0.833333333333 , 2.4 , 6 , 6 , 5 , 0.7 , 0 , -0.0634920634921 , 51147a63c2a3754cfe6685e4 , 1
