@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute stat_StdPhotoDis real
@attribute AvgPhotoDis real
@attribute MeanPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute Top10PhotoLocationNameFreq real
@attribute ID string
@attribute label {1,-1}
@data
37.1 , 0.0184089899949 , 0.0703010801515 , 5.75740354566 , 1.0 , 5.98678246917 , 0.433333333333 , 4.06619383085 , 2.56371698713 , -0.250826231937 , 22.9513501785 , 0.309339144794 , 2.43929561017 , 1.77351542769 , 0.955725811105 , 1.55555555556 , 2.5 , 1.5 , 9 , 4 , 2 , 0.4 , 511c83eec2a37552f0263099 , 1
54.3 , 0.00601436919964 , 0.00789059317204 , 5.1730337906 , 1.0 , 2.62465762101 , 0.633333333333 , 5.22700983104 , 2.2450986816 , -0.351930547684 , 22.9309779388 , 0.666726393321 , 4.07405805125 , 3.07616144988 , 2.65462865329 , 0.375 , 0.428571428571 , 0.428571428571 , 8 , 7 , 7 , 0.7 , 511c867ec2a37552f02633c8 , 1
61.0 , 0.0441425013667 , 0.305121369891 , 7.13910069547 , 1.0 , 2.20810034909 , 0.2 , 4.96361560341 , 2.92585301456 , 0.0495185623462 , 22.0156812852 , 0.0417095394927 , 1.16401658607 , 0.89526963673 , 0.582008293035 , 0.5 , 3.0 , 0.5 , 2 , 2 , 2 , 0.1 , 511c8baec2a37552f0263c39 , 1
29.5 , 0.084803360947 , 0.239077601795 , 7.54104361552 , 1.0 , 0.727018728618 , 0.1 , 8.90354381777 , 2.80004461848 , -0.030557811196 , 22.6070963551 , 0.585440542066 , 0.582008293035 , 0.582008293035 , 0.566593225053 , 0.0 , 0.0 , 2.0 , 1 , 1 , 1 , 0.2 , 511ca16cc2a37552f02657bb , 1
31.1 , 0.024509078436 , 0.0568197329841 , 3.87792014903 , 1.0 , 8.59137548663 , 0.533333333333 , 4.66246451734 , 2.2450986816 , -0.340479354921 , 23.5601493933 , 0.325588041831 , 2.5802192441 , 1.2652190173 , 0.461611012603 , 1.1 , 1.0 , 2.0 , 10 , 6 , 3 , 0.4 , 511c824dc2a37552f0262ee1 , 1
33.6 , 0.0436499243209 , 0.350799240643 , 7.31571777409 , 1.0 , 2.62480071293 , 0.2 , 3.76993594574 , 2.92585301456 , -0.0461933949635 , 19.2052018235 , 0.159916199922 , 0.566593225053 , 0.561564270969 , 0.421064501792 , 1.5 , 1.5 , 0.0 , 2 , 2 , 2 , 0.1 , 511c8b45c2a37552f0263ba5 , 1
22.2 , 0.00195252098699 , 0.00260336131598 , 5.11593228804 , 1.0 , 2.14552758212 , 0.366666666667 , 5.01640711827 , 2.2450986816 , -0.25416560985 , 22.3340201817 , 0.399075556457 , 2.71247996773 , 0.55324008579 , 0.447634818365 , 0.5 , 1.0 , 1.0 , 10 , 5 , 2 , 0.8 , 511c895bc2a37552f02638c4 , 1
61.1 , 0.0219967663631 , 0.23677587053 , 6.9252375181 , 1.0 , 1.38410096495 , 0.266666666667 , 5.3516349594 , 2.81533377929 , -0.161586067221 , 21.1435053577 , 0.498670802035 , 1.38483303781 , 0.992333191913 , 0.600240448715 , 1.0 , 1.0 , 14.0 , 3 , 3 , 2 , 0.3 , 511c8e1ec2a37552f0263f38 , 1
52.4444444444 , 0.0693384309776 , 0.0799669363964 , 6.94297859031 , 0.9 , 0.806505567007 , 0.296296296296 , 12.1468794283 , 2.53585777592 , -0.159641071653 , 20.4237076223 , 0.358013487089 , 0.603561594669 , 0.601624202472 , 0.58991747851 , 0.2 , 0.0 , 6.0 , 5 , 3 , 1 , 0.8 , 511c9be7c2a37552f02651a3 , 1
51.9 , 0.0531784823408 , 0.316899126255 , 7.21568507062 , 1.0 , 3.25419636821 , 0.166666666667 , 3.91507486929 , 2.900051699 , 0.0476784997142 , 21.0773686766 , 0.798166112138 , 1.13318645011 , 1.06185146132 , 0.600240448715 , 0.0 , 0.0 , 0.0 , 2 , 2 , 1 , 0.2 , 511c834dc2a37552f0262fdb , 1
