@relation 'CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R2-3,6-8,11-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Standardize-weka.filters.MultiFilter-Fweka.filters.supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 1-Fweka.filters.unsupervised.attribute.Standardize_predicted'

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute stat_StdPhotoDisbyCap numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute predictedlabel {1,-1}
@attribute label {1,-1}

@data
-0.568021,2.0194,0.879354,1.313853,0.585271,-0.963977,5.106061,0.234998,-0.217248,-3.360429,0.879354,5.02173,3.836945,-0.709794,-0.550402,-0.804995,0.208848,-0.00625,0.19385,7.279544,6.655139,7.641318,8.712841,-0.078689,511477f7c2a3754cfe668422,1,1
0.367869,-0.579881,-1.914048,0.406056,-0.740102,0.031997,-0.647044,1.605315,0.737486,-1.959845,-1.914048,1.157784,2.010672,0.887854,0.100328,-0.036233,-0.318563,-0.279351,-0.460234,0.371252,0.787751,1.157169,0.653214,-0.078689,5114a32ac2a3754cfe66b938,1,1
-0.399533,1.335815,-1.024772,0.766504,-0.963232,0.109478,1.699127,0.953236,0.081858,-2.275974,-1.024772,4.469706,2.312062,1.670408,-0.344729,-0.31597,-0.265226,-0.348169,0.316042,8.70184,4.638224,4.399243,7.118629,-0.078689,51147952c2a3754cfe6684ee,1,1
-0.568634,-0.706328,0.050203,-2.511565,-1.192503,1.470627,-0.378446,0.417601,-0.387699,0.514141,0.050203,-0.431816,-0.535685,0.950966,1.855284,0.639088,-0.388401,-0.361048,-0.718992,-0.238303,-0.129028,-0.463868,-0.321026,-0.078689,511497d3c2a3754cfe66ac3f,1,1
0.840951,-0.433314,0.440354,-0.387709,-0.109551,0.511541,0.266944,-0.686134,-0.303555,0.899099,0.440354,-0.216895,-0.904053,-0.109285,-0.102077,-1.032841,-0.241742,-0.230333,-0.718992,-0.035118,0.237684,-0.232291,-0.321026,-0.078689,51147c34c2a3754cfe668794,1,1
-0.32601,-0.556997,0.908247,0.446821,0.450571,-0.12785,2.243573,-0.604977,-0.737083,0.029363,0.908247,-0.032469,0.164906,-0.452358,-0.447063,-0.389582,0.292517,-0.38439,0.661053,0.066474,0.054328,-0.000715,-0.055324,-0.078689,5114796ac2a3754cfe668511,1,1
-0.061739,1.998309,-2.043442,3.749579,-4.439789,-0.310534,-0.135279,5.798305,-0.75482,-1.8067,-2.043442,3.782,1.475936,3.14525,4.867339,3.554057,-0.453874,-0.374386,-0.386303,0.269659,0.604395,0.925592,0.387512,-0.078689,51147fedc2a3754cfe668c4e,1,1
-0.730655,0.384852,-1.665238,-0.450052,-0.779337,0.223815,-0.823055,0.693534,1.543416,0.125625,-1.665238,-0.407094,-0.233985,0.975686,1.616911,0.849411,-0.493158,-0.454416,-0.201475,-0.339896,-0.312384,-0.463868,-0.143892,-0.078689,5114940cc2a3754cfe66a752,1,1
-0.296224,-0.326191,-1.254444,0.393596,0.287679,-0.191789,-0.336333,-0.537554,0.006156,-1.623586,-1.254444,-0.607367,1.4536,0.061103,-0.264923,0.021844,-0.178888,-0.174312,-0.718992,-0.339896,-0.49574,-0.463868,-0.055324,-0.078689,51148d88c2a3754cfe669eb1,1,1
-0.161361,0.509481,0.097567,-0.330258,-0.200008,0.529637,0.309508,-0.646714,-0.51704,-0.101413,0.097567,0.344824,-0.016694,-0.490736,-0.946683,-1.308045,-0.582949,-0.534445,-0.136786,0.168067,0.604395,0.230862,0.564647,-0.078689,51147caac2a3754cfe668801,1,1
-0.879501,-0.055565,-1.997422,0.338343,0.783022,0.580047,-0.336331,0.22657,0.137844,-1.169789,-1.997422,-0.357804,0.998564,-0.652092,-0.401792,-0.238232,0.921057,0.525948,0.445421,-0.339896,-0.312384,-0.232291,-0.143892,-0.078689,51148d87c2a3754cfe669eae,1,1
0.085149,-0.14807,-1.843015,-0.186815,-0.266577,0.580047,-0.480166,0.22657,0.608708,-2.040007,-1.843015,0.645285,2.110061,0.126113,0.397619,0.66047,0.685355,0.455922,-0.136786,-0.136711,0.054328,0.230862,-0.409594,-0.078689,51148d6dc2a3754cfe669e91,1,1
-0.579996,0.647919,-1.055629,0.78585,0.529456,-0.447546,-0.849363,0.643365,5.683913,-0.012278,-1.055629,-0.275469,-0.053939,0.213724,0.571191,0.125723,-0.650293,-0.594468,-0.460234,-0.339896,-0.312384,-0.232291,-0.143892,-0.078689,5114a19ac2a3754cfe66b7c8,1,1
0.030667,2.590976,0.039502,-0.043153,-0.300374,-0.191789,-0.490484,0.608632,-0.401348,-0.319827,0.039502,-0.167346,0.18193,0.470865,1.153259,1.559172,-0.650293,-0.594468,-0.589613,-0.136711,-0.312384,-0.232291,-0.409594,-0.078689,51148d1ac2a3754cfe669e26,1,1
-0.266293,-0.950385,0.904259,0.049541,0.071285,0.142056,0.008669,-1.336729,0.090373,0.544222,0.904259,0.281884,-0.555025,-1.244038,-1.28347,-1.484604,-0.231266,-0.594468,-0.417107,0.066474,0.421039,0.694015,0.564647,-0.078689,51147a4fc2a3754cfe66858e,1,1
0.581895,0.397605,1.326869,0.330516,0.138821,-0.191789,3.632629,-0.155492,-0.778953,-1.994869,1.326869,0.586221,2.20345,-0.894031,-0.827183,-1.081977,0.174666,1.114166,0.160787,0.269659,0.237684,0.462439,0.12181,-0.078689,511477fec2a3754cfe66844f,1,1
-0.411485,1.833773,0.762207,0.189218,0.022724,-0.390287,3.797556,-0.235926,-0.80461,-1.68893,0.762207,1.149512,1.702506,-0.627425,-0.777198,-0.730629,0.26109,0.323651,0.54605,0.472844,0.971107,1.388746,1.007484,-0.078689,5114780cc2a3754cfe668453,1,1
-0.879138,-0.366764,1.072105,0.39603,0.722761,-0.672332,-0.382294,-1.316095,0.342621,0.769679,1.072105,-0.323034,-0.78139,-1.361535,-1.361109,-1.530972,-0.493158,1.13284,-0.718992,-0.136711,-0.129028,-0.232291,-0.232459,-0.078689,51147e17c2a3754cfe6689cf,-1,-1
1.621629,-0.279841,0.860372,-0.300623,-0.096554,-0.087888,0.375222,-0.291943,-0.566289,0.647772,0.860372,-0.591048,-0.656749,0.049485,-0.368669,-0.125119,-0.807427,-0.73452,-0.460234,-0.339896,-0.312384,-0.463868,-0.409594,-0.078689,51147aa8c2a3754cfe66862d,-1,-1
1.315442,-0.586051,-0.334061,0.765441,0.94256,-0.796305,-0.616166,-0.4102,-0.018604,0.408933,-0.334061,-0.70329,-0.434908,-0.109285,0.319286,0.849411,-0.807427,0.666,0.574801,-0.441489,-0.49574,-0.463868,-0.409594,-0.078689,51148e20c2a3754cfe66a00c,-1,-1
0.329006,-0.977268,1.214813,0.729364,0.982358,-1.854206,1.678591,-0.485455,-0.70211,0.661611,1.214813,-0.294337,-0.704504,-0.63081,-0.859105,-0.819853,0.344896,-0.73452,0.70418,-0.238303,-0.312384,-0.232291,-0.321026,-0.078689,511479e5c2a3754cfe668562,-1,-1
0.160462,0.382225,1.752282,0.895033,1.41704,-1.022998,-0.827402,0.417601,2.767823,1.006976,1.752282,-0.580014,-0.99275,0.089427,0.642857,1.127416,-0.650293,1.226208,-0.460234,-0.339896,-0.49574,-0.463868,-0.409594,-0.078689,51149b21c2a3754cfe66b007,-1,-1
0.419603,-0.31059,0.861527,-0.816342,-0.279027,0.547062,0.170594,-0.675096,-0.010513,1.149962,0.861527,-0.496018,-1.154608,-0.531635,-0.962097,-0.965747,-0.807427,-0.73452,-0.718992,-0.238303,-0.312384,-0.232291,-0.321026,-0.078689,51147d98c2a3754cfe668922,-1,-1
2.48107,2.257905,0.813359,-0.068218,0.654353,-0.607394,-0.147505,-0.57576,-0.761446,0.330143,0.813359,-0.70329,-0.39577,-0.260125,0.068957,0.494805,8.3064,7.388494,6.785007,-0.441489,-0.49574,-0.463868,-0.409594,-0.078689,511480ccc2a3754cfe668daa,-1,-1
-0.726952,-0.239105,0.16249,0.483195,0.056886,1.470627,-0.264969,-0.57576,-0.612491,0.751058,0.16249,-0.70329,-0.774876,-0.362417,-0.039013,0.300989,-0.807427,-0.73452,-0.718992,-0.441489,-0.49574,-0.463868,-0.409594,-0.078689,511486bac2a3754cfe6694e9,-1,-1
