@relation 'CityBeatEvents-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Standardize-weka.filters.MultiFilter-Fweka.filters.supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 1-Fweka.filters.unsupervised.attribute.Standardize_predicted'

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute predictedlabel {1,-1}
@attribute label {1,-1}

@data
-0.460722,-1.630613,0.006447,0.373239,-0.485406,1.415031,0.156857,-0.846471,1.470364,3.145888,2.224745,0.013409,0.201181,0.388912,0.994484,1.728385,1.343099,-0.732666,-0.316947,51148d6ec2a3754cfe669e96,1,1
-0.377385,-1.649907,0.728276,0.373239,-0.843416,-0.352505,0.429206,-2.219304,-0.326588,0.157715,0.673264,0.013409,-0.061894,-0.402873,-0.591847,-0.293208,-0.010332,0.834935,-0.316947,51148bb8c2a3754cfe669bd6,1,1
-1.134996,-1.645664,-0.344722,0.373239,-1.025791,1.635973,6.657442,-2.219304,0.936096,0.656995,1.190155,-0.476928,-0.445231,-0.515986,1.391066,2.233783,3.373246,-0.732666,-0.316947,5114940fc2a3754cfe66a76b,1,1
-1.036507,0.387828,-0.296531,0.373239,0.975007,1.415031,-0.213401,-0.031529,-0.758776,-0.604795,-0.529245,0.282615,0.148566,-0.561231,0.994484,1.728385,-0.010332,-0.210133,-0.316947,51147bdbc2a3754cfe668749,1,1
-0.362233,-1.558646,0.547112,0.373239,-0.754307,0.089379,2.069895,-2.219304,0.234542,1.060719,1.117075,-0.053892,-0.114509,-0.561231,-0.195264,0.21219,-0.010332,0.312401,-0.316947,51148da2c2a3754cfe669f06,1,1
-0.447734,-1.157403,-1.90829,-3.96756,-0.765421,0.846894,0.496547,-1.57652,1.001233,-0.155228,0.21522,-0.289446,-0.061894,-0.086159,0.201319,-0.293208,-0.010332,0.834935,-0.316947,5114a32ac2a3754cfe66b944,-1,1
0.304466,1.385809,-0.369857,0.373239,-0.172032,0.089379,-0.225379,-0.202718,1.39889,-0.645891,-0.522233,-0.188494,-0.377584,-0.561231,0.597901,-0.293208,-0.687047,-0.210133,-0.316947,5114837ec2a3754cfe669027,1,1
-0.801647,0.167649,0.047801,0.373239,-0.653217,-1.015331,-0.306896,0.713867,-0.775683,-0.626631,-0.461171,-0.592302,-0.535428,-0.561231,-0.988429,-0.798606,-0.687047,-1.2552,-0.316947,5114846ec2a3754cfe669112,-1,-1
-0.884985,0.108805,-0.307144,0.373239,1.519223,-0.352505,-0.830485,-0.202718,-0.437465,-0.146949,0.159763,-0.592302,-0.219739,-0.561231,-0.591847,-0.293208,-0.010332,0.312401,-0.316947,511479e7c2a3754cfe668565,1,-1
-0.104645,0.740889,0.972289,0.373239,-0.536245,-1.015331,-0.601607,1.190062,-0.775683,-0.604795,-0.424631,-0.592302,-0.535428,-0.561231,-0.988429,-0.798606,-0.687047,-0.210133,-0.316947,511484bfc2a3754cfe6691c8,-1,-1
-1.122369,0.886911,-2.223301,-5.414493,-0.434299,-0.573447,-0.021692,0.885056,-0.373164,-0.130198,0.335768,-0.592302,-0.535428,-0.561231,-0.988429,-0.798606,-0.687047,-0.210133,-0.316947,51148d25c2a3754cfe669e29,-1,-1
-0.665277,-0.685797,0.032107,0.373239,-0.892092,-0.573447,1.133861,-0.392923,-0.541253,-0.233516,-0.382449,0.215313,-0.535428,-0.244516,-0.591847,-0.293208,-0.687047,-1.2552,-0.316947,511490c6c2a3754cfe66a317,-1,-1
-0.634973,1.476677,0.849495,0.373239,-0.412239,-0.352505,-0.209767,0.625344,-0.551559,-0.363577,-0.382449,-0.592302,-0.535428,-0.561231,-0.591847,-0.293208,-0.010332,0.312401,3.143059,51148603c2a3754cfe6693fa,1,-1
-0.741038,0.87748,0.894681,0.373239,-0.599119,-0.794389,0.642102,1.250081,-0.734093,-0.579588,-0.424631,-0.188494,-0.535428,-0.561231,-0.591847,-0.798606,-0.687047,-0.732666,-0.316947,511485e2c2a3754cfe6693b5,-1,-1
0.902979,0.233619,0.956947,0.373239,-0.343605,-1.015331,-0.622136,0.625344,-0.758776,-0.549774,-0.493401,-0.592302,3.568538,0.072198,-0.988429,-0.798606,-0.687047,-0.732666,-0.316947,5114805cc2a3754cfe668cb5,-1,-1
-0.930441,1.085951,0.72207,0.373239,1.539506,-0.352505,-0.747789,-0.202718,-0.242761,-0.042799,-0.020974,0.080711,-0.535428,-0.561231,-0.195264,-0.293208,-0.010332,-0.732666,-0.316947,51147a2dc2a3754cfe668578,1,-1
0.789337,0.898656,0.758495,0.373239,0.598998,0.089379,-0.383961,0.454155,0.100775,0.24352,-0.332558,0.720073,0.72733,0.705627,0.201319,-0.293208,-0.010332,-0.210133,-0.316947,51147c42c2a3754cfe6687b1,1,-1
0.97874,1.190225,1.081776,0.373239,0.14235,-1.015331,-0.132606,0.885056,-0.758776,-0.549774,-0.522233,0.215313,-0.535428,-0.561231,-0.988429,-0.798606,-0.687047,-0.732666,-0.316947,51147ccac2a3754cfe668845,-1,-1
1.950166,1.133744,0.079839,0.373239,-1.015244,-0.205211,2.086077,0.925358,-0.694508,-0.469569,-0.198341,6.272427,4.831296,4.822913,-0.591847,-0.293208,-0.010332,-1.2552,-0.316947,51149cd9c2a3754cfe66b262,1,-1
-1.032178,0.959878,-1.616572,-3.96756,-0.111772,-0.415632,-0.575735,0.454155,0.159697,-0.112637,0.090731,-0.592302,0.095951,0.072198,-0.591847,-0.798606,-0.687047,-0.210133,-0.316947,51148030c2a3754cfe668c8d,-1,-1
-1.119844,-1.211848,0.146494,0.373239,-0.324486,0.310321,-0.531942,-0.678913,0.97648,0.470212,1.158705,-0.188494,0.306411,0.283341,0.201319,0.21219,0.666384,-0.732666,-0.316947,51148d8ac2a3754cfe669ebd,1,1
-1.12742,1.217805,0.718366,0.373239,1.519223,-0.352505,-0.830485,0.454155,-0.591939,-0.383404,-0.493401,-0.592302,-0.535428,-0.561231,-0.591847,-0.293208,-0.010332,0.312401,-0.316947,511479e7c2a3754cfe668564,-1,1
-1.006202,-0.615694,0.67878,0.373239,-1.068774,-0.131563,2.338025,0.237672,-0.455141,-0.248384,-0.667435,-0.390398,-0.219739,-0.244516,0.201319,-0.293208,-0.010332,-0.210133,-0.316947,5114a18cc2a3754cfe66b77f,-1,1
