@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute AvgPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PeopleNumber real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute TheRatioOfPeopleToPhoto real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute ID string
@attribute label {1,-1}
@data
43.2 , 0.0327591033879 , 527.898255426 , 1.0 , 10 , 2.42146847448 , 0.4 , 6.57988518896 , 2.49612685475 , 1.0 , -0.285183606789 , 4.2288077325 , 0.761415068392 , 1.68375792896 , 1.63431234658 , 1.0095884012 , 0.25 , 0.25 , 0.25 , 4 , 4 , 4 , 51148308c2a3754cfe668f8e , 1
21.3 , 0.0561462766541 , 185.415210512 , 1.0 , 10 , 5.86843189721 , 0.6 , 5.40215365069 , 2.39428114771 , 1.0 , -0.247408319366 , 2.92472393666 , 0.40776637713 , 4.10931136386 , 2.31258033991 , 0.56497564048 , 0.5 , 0.714285714286 , 2.0 , 10 , 7 , 1 , 51147952c2a3754cfe6684ee , 1
51.0 , 0.28901567572 , 502.06255212 , 1.0 , 10 , 2.1774615157 , 0.2 , 3.63233361713 , 2.86557685521 , 1.0 , -0.0208634510551 , 5.5556893243 , 0.324162752583 , 1.08981714187 , 0.64637209306 , 0.605522151291 , 0.0 , 1.5 , 1.5 , 2 , 2 , 2 , 51147facc2a3754cfe668c48 , 1
67.7 , 0.23926386181 , 625.373708387 , 1.0 , 10 , 0.951286709564 , 0.233333333333 , 6.15304147896 , 2.7528553052 , 1.0 , 0.21926386181 , 0.0799183438709 , 0.39240735841 , 1.5846094874 , 1.10887917783 , 1.08981714187 , 0.833333333333 , 1.5 , 0.0 , 6 , 2 , 2 , 51148bb8c2a3754cfe669bd6 , 1
42.0 , 0.00432696254381 , 481.896657908 , 1.0 , 10 , 1.21359213603 , 0.6 , 5.04711108513 , 2.2450986816 , 1.0 , -0.0156730374562 , 0.434764908393 , 0.809223770441 , 4.13074958316 , 2.8933862408 , 0.605522151291 , 1.2 , 1.2 , 1.6 , 10 , 10 , 5 , 51148712c2a3754cfe669570 , 1
95.0 , 0.259152478842 , 672.377188086 , 1.0 , 10 , 1.81670929946 , 0.2 , 3.68468385103 , 2.7528553052 , 1.0 , 0.239152478842 , 0.0173053040651 , 0.39240735841 , 0.864124091505 , 0.625696422169 , 0.62375430697 , 0.5 , 0.0 , 0.5 , 2 , 2 , 2 , 51148a80c2a3754cfe66997f , 1
50.0 , 0.13135522665 , 547.181952775 , 1.0 , 10 , 3.00913386378 , 0.433333333333 , 3.78112761007 , 2.53585777592 , 1.0 , -0.158163005879 , 6.60472544629 , 0.399085131287 , 2.53719612995 , 1.24750861394 , 0.831416045601 , 0.714285714286 , 0.714285714286 , 2.0 , 7 , 7 , 3 , 51147caac2a3754cfe668801 , 1
36.0 , 0.0359379111105 , 505.780815551 , 1.0 , 10 , 2.6849495669 , 0.466666666667 , 4.61417183559 , 2.2450986816 , 1.0 , 0.0159379111105 , 0.298985666868 , 0.809223770441 , 3.02761075646 , 2.3344635759 , 2.17963428374 , 0.4 , 0.4 , 0.25 , 5 , 5 , 4 , 51148f61c2a3754cfe66a1aa , 1
46.8 , 0.148290300319 , 570.700279207 , 1.0 , 10 , 1.36387696242 , 0.4 , 3.96707818263 , 2.77560285813 , 1.0 , -0.147819014434 , 4.4174198925 , 0.121530360587 , 2.17963428374 , 1.6944252278 , 1.55829490542 , 0.6 , 0.2 , 0.0 , 5 , 5 , 4 , 51148d4dc2a3754cfe669e6d , 1
45.1 , 0.28830938317 , 633.290097319 , 1.0 , 10 , 2.39012289642 , 0.233333333333 , 5.42520021277 , 2.86557685521 , 1.0 , 0.26830938317 , 0.0818653518783 , 0.292846162371 , 1.40067814554 , 1.21104430258 , 0.586865219281 , 0.333333333333 , 0.0 , 0.0 , 3 , 2 , 2 , 51147a4fc2a3754cfe66858e , 1
95.2 , 0.248087888305 , 410.749838143 , 1.0 , 10 , 1.80496591753 , 0.133333333333 , 6.85806431164 , 2.7528553052 , 1.0 , -0.0757985881602 , 6.41609889157 , 0.460487170538 , 0.665038481018 , 0.62375430697 , 0.62375430697 , 3.5 , 4.0 , 0.0 , 2 , 1 , 1 , 511486b7c2a3754cfe6694e2 , 1
28.8 , 0.344084654633 , 650.269685752 , 1.0 , 10 , 4.2701548 , 0.166666666667 , 3.03233671103 , 2.90530777637 , 1.0 , 0.324084654633 , 0.0295419773063 , 0.249923062939 , 0.725494655393 , 0.590107083308 , 0.435047342067 , 0.0 , 0.0 , 0.0 , 2 , 2 , 1 , 511479e7c2a3754cfe668564 , 1
46.1 , 0.372618475414 , 631.090282003 , 1.0 , 10 , 5.49254364912 , 0.2 , 4.07775856827 , 3.11583409216 , 1.0 , 0.352618475414 , 0.0410698521991 , 0.0566064327823 , 1.08981714187 , 0.62375430697 , 0.622156506749 , 1.0 , 0.0 , 0.0 , 2 , 2 , 2 , 511478ebc2a3754cfe6684c5 , 1
