@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute stat_MinPhotoDis real
@attribute stat_MaxPhotoDis real
@attribute stat_StdPhotoDis real
@attribute AvgPhotoDis real
@attribute stat_MedianPhotoDis real
@attribute stat_MinPhotoDisbyCap real
@attribute stat_MaxPhotoDisbyCap real
@attribute stat_StdPhotoDisbyCap real
@attribute MeanPhotoDisbyCap real
@attribute stat_MedianPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute Top10PhotoLocationNameFreq real
@attribute Top3PhotoLocationNameSame real
@attribute ID string
@attribute label {1,-1}
@data
49.5454545455 , 0.0978426062234 , 0.27523660929 , 0.0563931529446 , 0.137812185934 , 0.0978426062234 , 6.1940878356 , 10.0 , 1.42882148518 , 7.75012375359 , 7.02367667973 , 0.733333333333 , 1.03951254227 , 0.242424242424 , 5.18084780877 , 2.471251836 , -1.86218781407 , 0.097719361649 , 0.673139188158 , 1.13409873995 , 0.960369386305 , 0.934351051098 , 3.0 , 7.0 , 7.0 , 5 , 2 , 2 , 0.9 , 0 , 5114a33bc2a3754cfe66b985 , 1
51.4736842105 , 0.262439183319 , 0.597703799131 , 0.0902684971715 , 0.34232013686 , 0.30826013698 , 6.5540918611 , 10.0 , 0.807834272598 , 7.40398698782 , 7.14537602366 , 0.934426229508 , 1.21359213603 , 0.116959064327 , 5.04711108513 , 2.66894704859 , -1.65767986314 , 0.137961791202 , 0.462804604059 , 0.828220467801 , 0.580127567079 , 0.18939398632 , 1.15384615385 , 1.15384615385 , 2.25 , 13 , 13 , 4 , 1.0 , 0 , 51148712c2a3754cfe669570 , 1
60.3333333333 , 0.287043864209 , 0.469695540106 , 0.0672378172537 , 0.350846428669 , 0.306225973124 , 6.37352227459 , 10.0 , 1.10522978495 , 7.57930912508 , 7.30071851158 , 0.923076923077 , 1.77830348798 , 0.194444444444 , 3.61390221715 , 2.95854298188 , -1.64915357133 , 0.0556803462515 , 0.208506123814 , 0.924065981524 , 0.856488463506 , 0.519795255809 , 2.0 , 0.0 , 3.0 , 3 , 2 , 2 , 0.3 , 0 , 511482e1c2a3754cfe668f78 , 1
26.8571428571 , 0.13679906432 , 0.395856970944 , 0.0994039078501 , 0.219678977368 , 0.161456729161 , 2.93038616285 , 10.0 , 2.380235292 , 5.63872236362 , 5.00850144891 , 0.933333333333 , 2.85602869458 , 0.261904761905 , 3.88088064971 , 2.72957395851 , -1.78032102263 , 0.373672920519 , 0.418253993246 , 3.50298367029 , 0.445538790693 , 0.432515822351 , 1.0 , 0.0 , 0.0 , 9 , 1 , 1 , 0.5 , 0 , 51147c8dc2a3754cfe6687f1 , 1
68.2571428571 , 0.138904445945 , 0.49560578747 , 0.0848749032624 , 0.20360569113 , 0.158656600586 , 6.2962007299 , 10.0 , 0.799126199561 , 7.21297576984 , 6.98911966092 , 0.972222222222 , 1.36387696242 , 0.2 , 3.96707818263 , 2.40580448402 , -1.79639430887 , 0.226091999222 , 0.815538889209 , 1.08981714187 , 0.89045423167 , 0.754575946382 , 3.0 , 3.11111111111 , 4.0 , 9 , 9 , 6 , 0.1 , 0 , 51148d4dc2a3754cfe669e6d , 1
47.347826087 , 0.237125592196 , 0.604362563288 , 0.0780739832902 , 0.319627966883 , 0.302369231273 , 6.80275468842 , 10.0 , 1.25785427512 , 7.92983381484 , 7.34007452689 , 0.821428571429 , 1.89439962346 , 0.101449275362 , 4.53140076273 , 2.84243889967 , -1.68037203312 , 0.0380573034111 , 0.331084891992 , 0.441251500861 , 0.333882417122 , 0.282770533218 , 2.0 , 1.5 , 1.5 , 3 , 2 , 2 , 0.2 , 0 , 5114837ec2a3754cfe669027 , 1
49.0 , 0.213192795944 , 0.489940237299 , 0.0724851007341 , 0.304374117987 , 0.299458142648 , 6.87475399725 , 10.0 , 1.3240712276 , 8.19161888583 , 7.6111126732 , 0.666666666667 , 3.50567799116 , 0.111111111111 , 3.20830384402 , 3.01301554334 , -1.69562588201 , 0.0222028471124 , 0.152800390287 , 0.616043987683 , 0.371907923534 , 0.346530170539 , 2.0 , 3.5 , 3.5 , 2 , 2 , 2 , 0.1 , 0 , 51147bdbc2a3754cfe66874c , 1
44.128440367 , 0.266484523902 , 0.470159221496 , 0.0515086514342 , 0.346976134966 , 0.341820007056 , 6.82901136252 , 10.0 , 1.0606630189 , 7.65080343235 , 7.15510788815 , 0.893442622951 , 2.39012289642 , 0.0489296636086 , 5.42520021277 , 2.90837216793 , -1.65302386503 , 0.098420951216 , 0.261887382913 , 0.171675497331 , 0.143337348235 , 0.128502582159 , 1.83333333333 , 0.833333333333 , 1.16666666667 , 6 , 6 , 6 , 1.2 , 0 , 51147a4fc2a3754cfe66858e , 1
45.0 , 0.0222861655706 , 0.105752320959 , 0.0257131622644 , 0.0370370450515 , 0.0267992034539 , 6.21690014835 , 7.94235024642 , 0.606534752899 , 7.05422612352 , 6.97112958296 , 1.0 , 0.838418333023 , 0.222222222222 , 6.84152080167 , 2.47385138961 , -1.96296295495 , 0.0603344612493 , 0.616374305836 , 1.34560478065 , 1.34560478065 , 0.902842521827 , 1.33333333333 , 0.0 , 0.0 , 3 , 2 , 2 , 0.444444444444 , 0 , 51148bdac2a3754cfe669c33 , 1
42.28125 , 0.235551780818 , 0.575573050498 , 0.0639058418921 , 0.29827713779 , 0.273757692906 , 6.73358160658 , 10.0 , 1.01877111411 , 7.54477754803 , 7.06930112439 , 0.864864864865 , 2.35189042161 , 0.135416666667 , 4.24604537903 , 2.76858606749 , -1.70172286221 , 0.0981874611948 , 0.435567952783 , 0.946128361392 , 0.359656802759 , 0.326018730907 , 1.2 , 4.2 , 1.0 , 5 , 5 , 5 , 0.6 , 0 , 51147f9ac2a3754cfe668c31 , 1
52.972972973 , 0.186970761283 , 0.423839621569 , 0.0642726560919 , 0.25514320968 , 0.229340887093 , 6.63220308609 , 10.0 , 0.926341113103 , 7.47807236374 , 7.11695094399 , 0.90243902439 , 0.951286709564 , 0.108108108108 , 6.15304147896 , 2.56610806237 , -1.74485679032 , 0.0949522063023 , 0.591424312559 , 0.66981205733 , 0.571030445911 , 0.299697075089 , 1.125 , 1.25 , 1.125 , 8 , 8 , 8 , 0.4 , 0 , 51148bb8c2a3754cfe669bd6 , 1
44.4 , 0.22204958445 , 0.501163661361 , 0.0893683506394 , 0.315175923929 , 0.286342119949 , 6.87259959655 , 10.0 , 1.25249340168 , 8.04826946321 , 7.47424690553 , 0.909090909091 , 2.69705812532 , 0.1 , 3.76190156137 , 2.86406768073 , -1.68482407607 , 0.0234650327992 , 0.303961536892 , 0.513893078104 , 0.365732624011 , 0.311877153485 , 0.5 , 1.5 , 1.5 , 2 , 2 , 2 , 0.2 , 0 , 51148f62c2a3754cfe66a1b7 , 1
