@relation CityBeatEvents-weka.filters.unsupervised.attribute.Standardize_predicted

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute predictedlabel {1,-1}
@attribute label {1,-1}

@data
-1.137623,0.591682,-0.147273,1.389073,-0.333392,-0.503338,-0.35443,1.198055,0.591682,-0.220681,-1.205121,-0.526628,-0.478942,-0.680036,0.193295,-0.665908,0.10597,-0.155478,-0.360953,-0.318298,-0.296247,-0.063925,511484d2c2a3754cfe669207,-1,-1
-0.195529,-0.039134,-0.054668,0.90346,-0.179807,-0.554459,-0.513005,-0.145783,-0.039134,-0.177898,0.293928,-0.828228,-0.981964,-0.933813,-0.575311,-0.351663,0.10597,-0.155478,-0.008208,0.136149,-0.130407,-0.063925,5114805ec2a3754cfe668cc2,-1,-1
-0.639627,-0.035218,-0.102331,-0.928624,1.008541,-1.375393,-0.598809,-0.3669,-0.035218,-0.527096,0.257508,-0.915629,-0.837498,-0.768068,-0.026307,-0.246915,-0.660559,-0.35419,-0.360953,-0.318298,0.864634,-0.063925,51147f3ec2a3754cfe668b69,-1,-1
1.000986,0.607664,-0.170612,0.114339,-0.740376,0.299983,0.75527,1.175658,0.607664,-0.527096,-1.196061,0.767507,1.392153,1.667505,1.510903,1.429057,-0.277295,-0.35419,-0.360953,-0.318298,-0.254787,-0.063925,51148ba6c2a3754cfe669b66,-1,-1
1.443457,-0.509618,-0.16073,-0.465085,-0.886139,2.620688,1.619207,-0.322143,-0.509618,0.363294,0.324817,0.729266,0.979227,0.763509,-0.026307,-0.246915,0.10597,0.043233,-0.008208,0.136149,-0.296247,-0.063925,5114958fc2a3754cfe66a8ce,-1,-1
-1.03438,0.429839,-0.160302,0.461994,-0.473202,-0.554459,0.518236,0.877659,0.429839,-0.527096,-0.882913,-0.221577,0.055476,0.206885,-0.026307,-0.665908,-0.660559,-0.35419,-0.360953,-0.318298,-0.296247,-0.063925,51148fc6c2a3754cfe66a1dd,-1,-1
-0.128285,0.706047,0.27619,0.203274,0.65812,-1.14907,0.561781,0.731381,0.706047,0.299802,-0.580297,-1.0382,-1.315149,-1.35721,-0.685111,-0.596075,-0.660559,0.043233,0.344537,0.136149,0.035433,-0.063925,51147d99c2a3754cfe668927,-1,-1
-0.737556,-0.036274,-0.113817,0.789199,-0.121582,0.359319,-0.510227,0.92916,-0.036274,0.615794,-0.911858,-0.751947,-0.662371,-0.620735,-0.319109,-0.561159,-0.564743,0.043233,-0.008208,0.136149,-0.130407,-0.063925,51148072c2a3754cfe668cfe,-1,-1
-1.029687,0.560392,-0.154543,-0.796185,-0.385645,-0.131553,-0.830875,0.609939,0.560392,-0.229528,-0.595188,-0.348367,-0.111163,0.06525,-0.136108,-0.246915,-0.660559,-0.155478,-0.360953,-0.318298,-0.130407,-0.063925,511482a9c2a3754cfe668f00,-1,-1
-0.468889,0.214938,-0.040984,0.165329,-0.168623,-0.735704,0.064837,-1.633144,0.214938,0.133284,1.632694,-1.144284,-1.152952,-1.133237,-0.026307,-0.351663,-0.468927,-0.155478,-0.008208,0.136149,0.532954,-0.063925,51147ec3c2a3754cfe668ae8,-1,-1
-0.219906,-1.539606,-0.092908,1.389073,-0.219055,0.774672,-0.290171,-0.494246,-1.539606,1.240223,0.526225,0.412172,0.691338,-0.158005,0.339696,-0.596075,-0.660559,0.043233,0.344537,0.590597,-0.130407,-0.063925,51148a7ec2a3754cfe669977,1,-1
0.242081,-0.715471,-0.146992,1.389073,-0.182997,-0.735704,-0.322604,-0.197338,-0.715471,-0.527096,0.152033,-0.252115,-0.003963,0.188239,-0.575311,-0.037418,-0.085662,-0.155478,-0.360953,-0.318298,-0.296247,-0.063925,5114805ec2a3754cfe668cc1,-1,-1
-0.240698,-0.108485,-0.101443,1.389073,0.145354,0.359319,-0.425705,0.460801,-0.108485,0.379473,-0.36667,0.185813,0.446017,-0.087362,0.120094,0.276827,0.201786,0.043233,-0.008208,0.136149,-0.296247,-0.063925,511482e3c2a3754cfe668f7e,-1,-1
-0.057011,1.925563,-0.112572,0.751706,-0.470878,-1.219024,0.174282,0.544728,1.925563,-0.527096,-0.508065,-0.727938,-0.605662,-0.502085,-0.026307,0.381575,-0.660559,-0.35419,-0.360953,-0.318298,-0.296247,-0.063925,511480f1c2a3754cfe668db2,-1,-1
0.669133,-1.446554,-0.175238,-2.690075,-0.044078,1.882282,-0.322247,-0.122725,-1.446554,-0.261188,0.117524,2.860796,2.000901,2.345502,0.083494,0.591071,-0.660559,-0.155478,-0.360953,-0.318298,-0.296247,-0.063925,51148a82c2a3754cfe669983,-1,-1
1.460664,1.032459,-0.160283,-0.465085,-0.923205,0.405469,2.452087,0.543036,1.032459,-0.379945,-0.532751,0.144405,0.497453,0.763509,1.181501,0.381575,-0.660559,-0.155478,-0.360953,-0.318298,-0.296247,-0.063925,511491e4c2a3754cfe66a4cb,-1,-1
2.082274,-0.896897,-0.165699,1.389073,-0.687838,0.774672,0.803941,0.30463,-0.896897,-0.388488,-0.317492,0.144371,0.580445,0.802698,-0.46551,5.618987,-0.660559,-0.155478,-0.360953,-0.318298,-0.254787,-0.063925,51148d17c2a3754cfe669e1d,-1,-1
-0.665654,-0.515935,-0.170571,-1.670288,-0.518501,0.299983,-0.362614,0.546185,-0.515935,-0.527096,-0.559142,0.767507,0.642083,0.502176,-0.46551,1.219561,1.064132,-0.35419,-0.360953,-0.318298,-0.296247,-0.063925,511487e0c2a3754cfe669677,-1,-1
-0.313521,-0.229475,0.057558,-0.650501,0.838491,-1.124086,0.585365,-1.839281,-0.229475,-0.101123,1.687211,-1.152013,-1.136153,-1.210387,-0.026307,0.381575,-0.660559,0.241945,-0.008208,0.136149,0.532954,-0.063925,51147f62c2a3754cfe668b92,-1,-1
-0.336456,0.720939,0.003664,-0.841711,0.273879,-0.953198,-0.616959,0.287,0.720939,0.110544,-0.164322,-0.584552,-0.802489,-1.067576,-0.319109,1.114812,-0.277295,0.043233,-0.008208,0.136149,-0.130407,-0.063925,51147db1c2a3754cfe66895a,-1,-1
-1.004882,-1.359183,-0.170608,-0.87712,-0.591209,0.299983,0.601563,-0.3293,-1.359183,-0.527096,0.233964,0.767507,1.285392,1.667505,1.0717,1.010064,0.8725,-0.35419,-0.360953,-0.318298,0.090713,-0.063925,51148976c2a3754cfe66981e,-1,-1
-0.420083,1.144196,-0.065513,0.461994,0.427582,-0.886742,-0.296911,0.612279,1.144196,-0.274536,-0.655909,-0.73579,-0.981964,-0.933813,-0.575311,-0.561159,-0.660559,-0.155478,-0.008208,-0.318298,-0.296247,-0.063925,51147a5cc2a3754cfe6685c8,-1,-1
-0.605921,0.109399,-0.05355,1.389073,-0.468613,0.774672,-0.047782,-0.146025,0.109399,1.049203,0.189898,-1.01664,-0.981964,-0.933813,-0.46551,-0.351663,-0.373111,0.241945,0.697282,1.045044,-0.296247,-0.063925,5114847ec2a3754cfe669127,-1,-1
0.71043,1.188773,-0.165938,0.461994,0.710598,0.110107,-0.731684,0.674783,1.188773,-0.364747,-0.652154,-0.131052,0.221674,0.374618,0.046894,-0.037418,-0.085662,0.043233,-0.360953,-0.318298,-0.462088,-0.063925,51147f5bc2a3754cfe668b76,-1,-1
-0.669992,-0.696765,-0.122431,-0.928624,1.240627,-0.20263,-0.773001,0.357759,-0.696765,-0.07931,-0.250292,-0.832611,-0.756369,-0.730374,-0.026307,-0.037418,-0.085662,-0.155478,-0.008208,0.136149,-0.130407,-0.063925,51147b64c2a3754cfe66871e,-1,-1
-0.039804,0.623404,-0.122431,1.389073,-0.39508,0.110107,-0.404588,0.664956,0.623404,-0.046711,-0.633247,-0.766186,-0.605662,-0.502085,-0.46551,-0.561159,-0.373111,-0.155478,-0.008208,0.136149,-0.296247,-0.063925,511480f3c2a3754cfe668db8,-1,-1
-0.213127,1.409984,-0.146665,-0.17983,-0.046967,-0.735704,-0.670466,0.285447,1.409984,-0.527096,-0.328253,-0.348367,-0.229829,-0.173996,-0.685111,-0.037418,0.297603,-0.35419,-0.360953,-0.318298,-0.296247,-0.063925,5114841ec2a3754cfe6690e9,-1,-1
0.20645,0.139769,0.027682,0.073219,-0.614788,-1.071343,0.392156,0.349277,0.139769,-0.31133,-0.33924,-1.207465,-1.313393,-1.345815,0.339696,-0.665908,-0.564743,0.043233,-0.008208,0.136149,-0.130407,-0.063925,51148b15c2a3754cfe669a7c,-1,-1
-0.292906,-0.739544,-0.146538,-0.796185,-0.543505,-0.735704,-0.407777,-0.416066,-0.739544,-0.527096,0.334254,-0.252115,0.063976,0.188239,-0.46551,-0.665908,-0.660559,-0.35419,-0.360953,-0.318298,-0.130407,-0.063925,5114882fc2a3754cfe669703,-1,-1
-0.93759,0.007652,-0.170866,0.255977,-0.846461,-0.056035,1.064762,0.865141,0.007652,-0.527096,-0.862131,0.417012,0.842176,1.068392,-0.685111,0.172078,-0.660559,-0.35419,-0.360953,-0.318298,-0.277821,-0.063925,5114959cc2a3754cfe66a8f6,-1,-1
0.057048,0.214592,-0.170756,0.114339,-0.012619,1.249362,-0.67679,-0.359296,0.214592,-0.268984,0.28168,0.767507,1.274918,1.563945,-0.355709,-0.456411,-0.660559,-0.155478,-0.360953,-0.318298,-0.254787,-0.063925,51148554c2a3754cfe6692d4,-1,-1
