@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute AvgPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute Top10PhotoLocationNameFreq real
@attribute Top3PhotoLocationNameSame real
@attribute ID string
@attribute label {1,-1}
@data
23.0 , 0.0586964023282 , 255.151267045 , 1.0 , 6.73045955632 , 0.566666666667 , 5.06981212303 , 2.2450986816 , 4.35047342067 , 2.88147512665 , 0.62375430697 , 1.1 , 1.33333333333 , 2.0 , 10 , 6 , 1 , 0.5 , 1 , 51147967c2a3754cfe668503 , 1
49.7 , 0.191924093063 , 626.45644417 , 1.0 , 3.1267855811 , 0.266666666667 , 6.57369572324 , 2.71532669877 , 0.809845951598 , 0.7571913009 , 0.62375430697 , 0.0 , 0.0 , 1.5 , 3 , 3 , 2 , 0.2 , 0 , 511478cac2a3754cfe6684ac , 1
95.2 , 0.248087888305 , 410.749838143 , 1.0 , 1.80496591753 , 0.133333333333 , 6.85806431164 , 2.7528553052 , 0.665038481018 , 0.62375430697 , 0.62375430697 , 3.5 , 4.0 , 0.0 , 2 , 1 , 1 , 0.1 , 0 , 511486b7c2a3754cfe6694e2 , 1
44.5 , 0.163177317264 , 644.038186944 , 1.0 , 1.68024283126 , 0.133333333333 , 5.1972533455 , 2.49612685475 , 1.00275352762 , 0.62375430697 , 0.62375430697 , 2.0 , 2.0 , 2.0 , 2 , 1 , 1 , 0.4 , 0 , 51148d88c2a3754cfe669eb1 , 1
47.9 , 0.276433649858 , 627.90120762 , 1.0 , 1.36305848166 , 0.233333333333 , 4.0942689504 , 2.86557685521 , 1.24750861394 , 1.23279340916 , 1.08981714187 , 0.333333333333 , 0.5 , 0.5 , 3 , 2 , 2 , 0.1 , 0 , 51148d1ac2a3754cfe669e26 , 1
47.7 , 0.13186772949 , 609.157570546 , 1.0 , 2.30127463965 , 0.266666666667 , 4.00084375007 , 2.39428114771 , 2.95053541654 , 1.12995128096 , 0.590107083308 , 0.5 , 1.0 , 1.0 , 6 , 2 , 1 , 0.5 , 0 , 51147f8bc2a3754cfe668c04 , 1
33.4 , 0.347633116223 , 619.734062599 , 1.0 , 4.958664848 , 0.2 , 3.02551299383 , 2.96558393573 , 0.722574895508 , 0.528203162468 , 0.50743922599 , 1.0 , 1.0 , 0.0 , 2 , 2 , 2 , 0.3 , 0 , 511479f3c2a3754cfe66856a , 1
47.9 , 0.222147018413 , 644.330883513 , 1.0 , 1.64757633087 , 0.2 , 4.44990949598 , 2.92585301456 , 0.605522151291 , 0.576753944046 , 0.576753944046 , 1.0 , 0.0 , 3.0 , 3 , 2 , 1 , 0.1 , 0 , 511484bec2a3754cfe6691c3 , 1
30.4 , 0.347028362947 , 591.223803207 , 1.0 , 1.07071417532 , 0.3 , 6.19544346126 , 3.01057093427 , 0.605522151291 , 0.605522151291 , 0.536207433235 , 0.0 , 1.0 , 0.0 , 3 , 3 , 3 , 0.2 , 0 , 511486cfc2a3754cfe669515 , 1
38.5 , 0.264607060192 , 608.188084362 , 1.0 , 7.0791546353 , 0.266666666667 , 3.11275321778 , 2.900051699 , 1.23279340916 , 0.991105859961 , 0.910228823227 , 0.333333333333 , 0.333333333333 , 0.0 , 3 , 3 , 2 , 0.2 , 0 , 51147974c2a3754cfe668526 , 1
58.8 , 0.279190206732 , 633.235952715 , 1.0 , 1.62139470277 , 0.2 , 4.84214783408 , 2.86557685521 , 1.21104430258 , 1.18021416662 , 1.02778615621 , 5.5 , 0.5 , 1.5 , 2 , 2 , 2 , 0.4 , 0 , 511497d2c2a3754cfe66ac3b , 1
34.2 , 0.0470805644375 , 616.24365009 , 1.0 , 2.69263063071 , 0.266666666667 , 4.60926231458 , 2.2450986816 , 1.86757086072 , 1.21104430258 , 0.62375430697 , 0.8 , 0.0 , 0.0 , 5 , 2 , 2 , 0.5 , 0 , 51148f61c2a3754cfe66a1b2 , 1
50.3333333333 , 0.363372338672 , 494.165501886 , 0.9 , 1.40679840981 , 0.222222222222 , 4.09785838171 , 2.94503869754 , 1.45015780689 , 0.655674537009 , 0.640837715607 , 2.0 , 1.0 , 8.0 , 3 , 2 , 1 , 0.3 , 0 , 51148d2dc2a3754cfe669e3e , 1
39.9 , 0.168274325559 , 658.03287102 , 1.0 , 1.68024252441 , 0.1 , 4.9951198207 , 2.62924922386 , 0.56497564048 , 0.56497564048 , 0.544908570934 , 6.0 , 0.0 , 3.0 , 1 , 1 , 1 , 0.6 , 0 , 51148d89c2a3754cfe669eb5 , 1
50.3 , 0.340468720855 , 610.35894575 , 1.0 , 2.29960038188 , 0.266666666667 , 5.1551957234 , 2.94503869754 , 1.15090176883 , 0.576753944046 , 0.56497564048 , 0.8 , 0.0 , 0.0 , 5 , 2 , 1 , 0.1 , 0 , 51147f99c2a3754cfe668c2b , 1
54.1 , 0.143216452478 , 482.757770573 , 1.0 , 1.68024416195 , 0.333333333333 , 3.85545751177 , 2.71532669877 , 2.00550705523 , 1.50413029142 , 1.15189433907 , 3.33333333333 , 5.0 , 4.25 , 6 , 4 , 4 , 0.1 , 0 , 51148d8bc2a3754cfe669ec3 , 1
47.3 , 0.102924292729 , 615.796327937 , 1.0 , 1.67373936629 , 0.266666666667 , 5.39258723728 , 2.7528553052 , 1.29618613726 , 1.02129891769 , 0.85832658413 , 2.66666666667 , 0.0 , 0.0 , 3 , 3 , 2 , 0.3 , 0 , 51148abfc2a3754cfe6699ab , 1
35.5 , 0.0301838952472 , 530.033427168 , 1.0 , 2.59118741245 , 0.433333333333 , 4.47181343129 , 2.2450986816 , 2.88376972023 , 1.08981714187 , 0.554439588914 , 0.571428571429 , 0.571428571429 , 1.33333333333 , 7 , 7 , 3 , 0.5 , 1 , 51147fddc2a3754cfe668c4b , 1
22.8 , 0.154053446656 , 654.5208179 , 1.0 , 1.68024682815 , 0.1 , 5.55369085552 , 2.68732306847 , 0.520792365252 , 0.501376763808 , 0.480245854442 , 0.0 , 0.0 , 0.0 , 1 , 1 , 1 , 0.3 , 0 , 51148d87c2a3754cfe669eae , 1
27.3 , 0.0215741385357 , 302.282869542 , 1.0 , 0.882702440584 , 0.466666666667 , 13.9639322874 , 2.39428114771 , 5.44969936162 , 1.47076260089 , 1.12995128096 , 1.11111111111 , 1.0 , 1.0 , 9 , 4 , 3 , 0.4 , 0 , 51148c2ac2a3754cfe669cf1 , 1
41.8 , 0.272726448879 , 620.994946306 , 1.0 , 2.92226524091 , 0.333333333333 , 4.89724909706 , 2.9708400131 , 2.14482973294 , 1.77032124993 , 0.997557721527 , 0.5 , 0.0 , 0.0 , 4 , 3 , 3 , 0.2 , 0 , 51147d55c2a3754cfe6688e9 , 1
40.5 , 0.156274480014 , 482.231766457 , 1.0 , 6.258273843 , 0.533333333333 , 3.86650864524 , 2.80004461848 , 2.6102840524 , 2.36097478603 , 1.74018936827 , 0.333333333333 , 0.5 , 0.0 , 6 , 6 , 4 , 0.2 , 0 , 51147966c2a3754cfe668500 , 1
24.375 , 0.230998985263 , 278.400399376 , 0.8 , 1.77396609286 , 0.208333333333 , 3.26741507445 , 2.92585301456 , 0.720942430057 , 0.7062195506 , 0.660253953085 , 0.333333333333 , 0.0 , 1.0 , 3 , 1 , 1 , 0.1 , 0 , 51148549c2a3754cfe6692cf , 1
