@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-24

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute ID string
@attribute label {1,-1}

@data
34.666667,0.107575,0.305493,8.167047,0.775862,3.259762,0.066667,4.671151,2.546404,-0.048901,3.481793,0.213452,0.349774,0.215611,0.170651,2.4,3.666667,0.333333,5,3,3,1.7,51147f21c2a3754cfe668b52,1
58.8,0.058444,0.314628,7.529963,0.833333,1.621395,0.2,4.842148,2.951143,0.068084,6.804748,0.67799,1.211044,1.180214,1.027786,5.5,2,3,2,2,2,0.4,511497d2c2a3754cfe66ac3b,1
38.5,0.137144,0.248811,7.296674,0.947368,2.692631,0.166667,4.609262,2.285806,-0.101841,5.544638,0.091709,1.037539,0.672802,0.34653,0.8,1.666667,0,5,3,2,0.7,51148f61c2a3754cfe66a1b2,1
47.214286,0.094512,0.345513,7.500842,0.875,1.406798,0.166667,4.097858,2.934694,-0.04618,6.362288,0.319911,0.932244,0.823934,0.457513,2.5,4.5,6,4,2,2,0.3,51148d2dc2a3754cfe669e3e,1
30.2,0.058883,0.18879,7.397703,0.909091,0.883413,0.133333,6.548432,2.903702,-0.042568,6.629756,0.690689,1.211044,0.564976,0.544909,0.666667,1,0,3,1,1,0.1,51148c2bc2a3754cfe669d04,1
36.588235,0.086474,0.206108,7.720237,0.85,1.680243,0.058824,4.99512,2.388481,-0.179835,5.615008,0.699663,0.366914,0.347122,0.332339,0,0,6,1,1,1,0.8,51148d89c2a3754cfe669eb5,1
64,0.035881,0.144063,7.096811,1,1.680244,0.305556,3.855458,2.719964,-0.229197,6.04362,0.253037,1.671256,1.671256,0.959912,4.8,4.2,1.2,5,5,5,0.1,51148d8bc2a3754cfe669ec3,1
57.166667,0.080339,0.154315,7.287954,0.96,1.673739,0.166667,5.392587,2.328241,-0.08201,4.721698,0.506011,0.900129,0.567388,0.536454,3.6,2.25,3.5,5,4,4,0.4,51148abfc2a3754cfe6699ab,1
38.307692,0.021295,0.037496,6.212992,1,2.591187,0.384615,4.471813,2.036569,-0.261692,6.627085,0.498842,2.661941,0.838321,0.453929,0.5,0.5,1.333333,8,8,3,0.6,51147fddc2a3754cfe668c4b,1
36.769231,0.073635,0.126988,7.898553,0.928571,1.680247,0.153846,5.553691,2.434269,-0.055642,6.199407,0.18216,0.443657,0.434597,0.41916,5.5,4.5,4.5,2,2,2,0.4,51148d87c2a3754cfe669eae,1
