@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
26.666667,0.076912,0.229374,7.210179,1,0.99516,0.111111,4.982759,2.969389,0.035933,21.743288,0.222908,0.646676,0.629548,0.629548,1,0,0,1,1,1,0.111111,-1
54,0.093493,0.294878,7.86227,0.9,2.336312,0.185185,3.345738,2.900052,-0.01858,21.213986,0.36107,0.994744,0.976215,0.666934,3.5,0.5,7,2,2,1,0.1,-1
37.1,0.04872,0.28352,7.340456,1,2.073239,0.133333,3.69808,3.010571,-0.018751,22.366446,0.078947,0.582008,0.578669,0.541462,0.5,2,1,2,1,1,0.1,-1
42.5,0.076242,0.370071,7.541808,1,4.33858,0.166667,3.152411,3.036372,0.047965,22.612041,0.250257,0.566593,0.56487,0.55324,1.5,0,0,2,2,1,0.1,-1
42.666667,0.034317,0.239253,7.32283,0.9,1.382313,0.185185,3.674965,2.800045,-0.115754,22.40618,0.501121,1.026414,0.629548,0.629548,1.333333,0,2,3,1,1,0.2,-1
25.4,0.039451,0.368238,7.246333,1,2.865322,0.1,3.665524,2.97084,0.188885,22.055016,0.39723,0.483925,0.461611,0.435375,0,0,0,1,1,1,0.1,-1
37.75,0.054825,0.248687,7.315065,0.888889,2.222768,0.25,3.268035,2.974938,-0.092338,19.116174,0.243191,1.532056,0.708242,0.706088,3.666667,5.5,0,3,2,1,0.222222,-1
49,0.060232,0.277218,7.133706,1,1.983186,0.2,4.381585,2.925853,0.062532,21.384816,0.098046,0.60024,0.566593,0.55324,0,0,0.5,2,2,2,0.1,-1
56.3,0.050223,0.351561,7.249214,1,3.181141,0.133333,4.069985,3.115834,0.132744,19.763677,0.26763,0.60024,0.566593,0.55324,2,0,4,2,1,1,0.1,-1
48.111111,0.065434,0.37238,7.52038,0.9,0.757769,0.148148,8.475832,3.076103,0.069374,22.409559,0.333676,0.646676,0.589917,0.589917,0,0,1,2,1,1,0.1,-1
53.166667,0.035016,0.355531,7.900816,0.75,1.547154,0.166667,6.431291,3.057476,-0.075165,22.760738,0.233083,0.970014,0.944322,0.854489,5,0,0,1,1,1,0,-1
36.7,0.036954,0.237919,7.110051,1,2.474885,0.2,4.049863,2.925853,0.000578,21.552694,0.264708,0.60024,0.582008,0.566593,0,0,0,3,2,1,0.1,-1
41,0.095293,0.257639,7.995983,0.75,1.227863,0.166667,3.191938,2.889549,-0.046007,21.961205,0.386344,0.970014,0.868991,0.868991,7,5,6,1,1,1,0.125,-1
48.3,0.074103,0.349899,7.588013,1,1.317389,0.1,4.682785,2.886122,-0.046263,22.144695,0.379386,0.60024,0.582008,0.55324,0,1,4,1,1,1,0.1,-1
44,0.056911,0.267916,7.752269,0.8,0.877503,0.208333,11.311922,3.010571,-0.079078,18.966335,0.210526,0.750301,0.69155,0.651743,1,1,0,2,2,1,0.1,-1
30.857143,0.024681,0.159051,7.425411,0.875,1.013683,0.190476,4.615087,2.816308,-0.162387,23.088826,0.459634,0.857486,0.74485,0.682661,1,0,2,2,1,1,0.25,-1
39.3,0.074777,0.382309,7.213353,1,2.537299,0.1,3.065604,3.050302,0.003385,20.290114,0.342105,0.60024,0.566593,0.55324,0,0,2,1,1,1,0.1,-1
45.333333,0.063038,0.216872,7.746053,0.9,1.876743,0.222222,4.079804,2.925853,-0.076141,21.876571,0.42619,0.760486,0.735062,0.646676,1.5,0.5,2,2,2,2,0.2,-1
44,0.070458,0.399057,7.339765,1,1.831728,0.166667,3.780043,3.076103,-0.007757,20.955405,0.136051,0.566593,0.530926,0.527022,0.5,0,1,2,2,1,0.1,-1
43,0.098299,0.275609,7.210249,1,1.027435,0.2,5.642683,3.036372,0.013163,22.51989,0.309339,0.60024,0.60024,0.60024,0,2,0,2,2,2,0.2,-1
53.2,0.067061,0.400603,6.986869,1,2.576426,0.233333,3.738244,2.945039,0.058654,21.075893,0.498021,0.864322,0.60024,0.582008,1.75,0,0,4,2,1,0.1,-1
28.7,0.050019,0.34839,7.195917,1,2.127657,0.1,3.445961,3.010571,0.08725,22.342444,0.188682,0.530926,0.521395,0.477863,0,0,0,1,1,1,0.1,-1
57.111111,0.084978,0.266177,7.518821,1,1.322658,0.148148,3.40773,3.016876,0.106375,20.718251,0.270019,0.921357,0.646676,0.646676,3.5,4,4,2,1,1,0.111111,-1
50.4,0.07052,0.32211,7.014034,1,1.866168,0.2,3.850996,3.010571,-0.005016,22.157004,0.490199,0.90416,0.60024,0.582008,0,1.5,0,2,2,2,0,-1
47.444444,0.074106,0.327528,7.182954,1,0.927462,0.185185,5.19881,3.058814,-0.00215,22.647381,0.420436,0.666934,0.524608,0.517475,0,0,1,2,2,1,0.111111,-1
43.6,0.056868,0.336837,7.222239,1,1.65724,0.133333,3.511927,3.076103,0.094851,22.528642,0.691175,0.566593,0.566593,0.55324,1.5,0,3,2,1,1,0.2,-1
