@relation 'CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R2-3,6-9,11'

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute diff_AvgPhotoDis numeric
@attribute diff_TopWordPopularity numeric
@attribute diff_Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
49.545455,0.056393,0.137812,7.750124,0.733333,1.039513,0.242424,5.180848,2.471252,-1.862188,0.097719,0.673139,1.134099,0.960369,0.934351,3,7,7,5,2,2,0.9,1
51.473684,0.090268,0.34232,7.403987,0.934426,1.213592,0.116959,5.047111,2.668947,-1.65768,0.137962,0.462805,0.82822,0.580128,0.189394,1.153846,1.153846,2.25,13,13,4,1,1
60.333333,0.067238,0.350846,7.579309,0.923077,1.778303,0.194444,3.613902,2.958543,-1.649154,0.05568,0.208506,0.924066,0.856488,0.519795,2,0,3,3,2,2,0.3,1
26.857143,0.099404,0.219679,5.638722,0.933333,2.856029,0.261905,3.880881,2.729574,-1.780321,0.373673,0.418254,3.502984,0.445539,0.432516,1,0,0,9,1,1,0.5,1
68.257143,0.084875,0.203606,7.212976,0.972222,1.363877,0.2,3.967078,2.405804,-1.796394,0.226092,0.815539,1.089817,0.890454,0.754576,3,3.111111,4,9,9,6,0.1,1
47.347826,0.078074,0.319628,7.929834,0.821429,1.8944,0.101449,4.531401,2.842439,-1.680372,0.038057,0.331085,0.441252,0.333882,0.282771,2,1.5,1.5,3,2,2,0.2,1
49,0.072485,0.304374,8.191619,0.666667,3.505678,0.111111,3.208304,3.013016,-1.695626,0.022203,0.1528,0.616044,0.371908,0.34653,2,3.5,3.5,2,2,2,0.1,1
44.12844,0.051509,0.346976,7.650803,0.893443,2.390123,0.04893,5.4252,2.908372,-1.653024,0.098421,0.261887,0.171675,0.143337,0.128503,1.833333,0.666667,1.166667,6,6,6,1.2,1
33.6,0.086229,0.281386,7.92643,0.833333,1.839142,0.177778,6.980782,2.749741,-1.718614,0.059491,0.419693,0.545797,0.526409,0.415836,0.666667,0.666667,1,3,3,2,0.7,1
45,0.025713,0.037037,7.054226,1,0.838418,0.222222,6.841521,2.473851,-1.962963,0.060334,0.616374,1.345605,1.345605,0.902843,1.333333,0,0,3,2,2,0.444444,1
