@relation CityBeatEvents-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R10-12

@attribute AvgCaptionLen numeric
@attribute stat_StdPhotoDis numeric
@attribute AvgPhotoDis numeric
@attribute MeanPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute label {1,-1}

@data
29.222222,0.051706,0.15698,7.39199,0.818182,0.97913,0.296296,6.221872,2.621928,1.139319,0.943233,0.796998,0.333333,0.333333,1,3,3,2,0.5,1
47.038462,0.07675,0.293036,7.481008,0.912281,3.13775,0.089744,4.28422,2.872184,0.465313,0.36319,0.337921,1,1,0.25,9,9,4,0.8,1
44.131944,0.120488,0.3369,7.66705,0.86747,4.379211,0.092593,4.633776,2.165833,0.238909,0.21087,0.17622,2.47619,2.4375,4.5,21,16,16,4.4,1
38.066667,0.088855,0.312679,8.098767,0.75,1.549494,0.133333,4.063771,2.871442,0.422559,0.377729,0.377729,2.666667,2.666667,4,3,3,2,0.2,1
29.52381,0.104234,0.269555,7.811479,0.875,2.046085,0.111111,3.357885,2.46961,0.409559,0.285829,0.285829,0.5,1,0,4,2,2,0.1,1
44.116279,0.092836,0.3967,7.455024,0.895833,7.635488,0.170543,3.443659,2.528763,0.666723,0.294237,0.258182,2.2,3.375,1.857143,10,8,7,1.1,1
49.736842,0.060904,0.325333,7.524909,0.863636,1.287498,0.157895,7.983935,2.918086,0.762707,0.475874,0.383321,5.25,1.666667,0,4,3,2,0.3,1
38.375,0.139135,0.293974,7.592084,0.8,0.947792,0.208333,5.700767,2.865577,0.651743,0.640867,0.544218,2.666667,7,7,3,1,1,0.3,1
56.5,0.082801,0.273624,7.782237,0.879121,2.315135,0.070833,5.19654,2.706238,0.676827,0.218253,0.195523,2.142857,0.8,5,14,5,4,1.6,1
43.942857,0.068991,0.277748,7.444347,0.972222,2.795133,0.104762,3.853001,2.859016,0.539597,0.514492,0.228624,1.25,2.25,3.666667,4,4,3,1.2,1
59.571429,0.087771,0.154343,7.988348,0.777778,1.298954,0.190476,7.036147,2.744843,1.348992,0.83144,0.83144,0.333333,13,13,3,1,1,0.555556,1
43.5,0.076264,0.293478,8.01923,0.9,2.698726,0.055556,4.097,2.837692,0.323338,0.323338,0.294959,2.333333,3,0,3,2,2,0.6,1
43.722222,0.075588,0.382712,7.466119,0.947368,2.582627,0.12963,3.703965,2.94076,0.333467,0.333467,0.323338,1,0,1.333333,4,3,3,0.1,-1
