@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute CaptionPercentage real
@attribute PeopleNumber real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute TheRatioOfPeopleToPhoto real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute ID string
@attribute label {1,-1}
@data
40.4545454545 , 0.300913293718 , 0.916666666667 , 9 , 2.02274052871 , 0.212121212121 , 3.82433962983 , 2.8104469014 , 0.75 , 0.0291155639969 , 5.15840357129 , 0.556307229333 , 51149037c2a3754cfe66a266 , 1
37.2857142857 , 0.231429671181 , 0.763636363636 , 37 , 0.947841350972 , 0.198412698413 , 7.3544056241 , 2.29228238497 , 0.672727272727 , 0.211429671181 , 0.248145691076 , 0.871178234787 , 51148bb7c2a3754cfe669bca , 1
37.1739130435 , 0.281147821249 , 0.938775510204 , 37 , 2.95640079824 , 0.0652173913043 , 6.3449098752 , 2.85291300537 , 0.755102040816 , -0.00264149215736 , 3.76672844012 , 0.188918770519 , 51147c35c2a3754cfe668796 , 1
42.7777777778 , 0.405785768237 , 0.803571428571 , 40 , 8.27934795234 , 0.103703703704 , 3.80656043364 , 2.56710668873 , 0.714285714286 , 0.0255877978547 , 2.32797267737 , 0.164352577091 , 51147841c2a3754cfe668466 , 1
48.75 , 0.132000633418 , 0.75 , 15 , 1.03951254227 , 0.277777777778 , 5.18084780877 , 2.4213152774 , 0.9375 , 0.0110721848285 , 4.88857991618 , 0.312442364158 , 5114a33bc2a3754cfe66b985 , 1
43.6666666667 , 0.285353110485 , 0.9 , 18 , 1.92394615462 , 0.12962962963 , 4.49510694248 , 2.94474156563 , 0.9 , -0.0199809069886 , 3.37713875505 , 0.293709049312 , 51148321c2a3754cfe668fad , 1
25.6 , 0.146563925061 , 0.909090909091 , 8 , 0.68117346394 , 0.2 , 9.29074357094 , 2.72192809489 , 0.727272727273 , -0.0714263849043 , 4.09592284303 , 0.211474684785 , 5114940dc2a3754cfe66a75a , 1
43.0731707317 , 0.330303357391 , 0.901098901099 , 77 , 1.07071417532 , 0.0691056910569 , 6.19544346126 , 3.05240709968 , 0.846153846154 , 0.310303357391 , 0.0980525994567 , 0.119950868666 , 511486cfc2a3754cfe669515 , 1
44.8571428571 , 0.113662895928 , 0.777777777778 , 18 , 1.23890827344 , 0.15873015873 , 6.13009833513 , 2.24716719731 , 0.666666666667 , 0.0936628959276 , 0.0759484771117 , 0.943494007907 , 5114a33dc2a3754cfe66b9a4 , 1
49.6842105263 , 0.143399506193 , 1.0 , 21 , 1.68024305913 , 0.0964912280702 , 3.77193638497 , 2.17540292197 , 0.552631578947 , 0.123399506193 , 0.103436698658 , 1.07727774025 , 51148d8ac2a3754cfe669ebd , 1
