@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute CaptionNumber real
@attribute PhotoNumber real
@attribute PercentageOfStopwordsFromTopWords real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute event_id string
@attribute label {1,-1}
@data
32.5 , 0.126208366944 , 4 , 5 , 0.2 , 0.920549812777 , 0.375 , -3.64002545285 , 0.721928094887 , 5100c69ec2a3754648f03b67 , 1
32.6 , 0.217028859279 , 5 , 5 , 0.0 , 0.920923203405 , 0.2 , -3.66850653876 , 1.52192809489 , 5100c8cfc2a3754648f03b6c , 1
37.6666666667 , 0.113206519339 , 9 , 11 , 0.5 , 0.710674005077 , 0.5 , -13.7106607214 , 0.439496986922 , 5100de63c2a3754648f03b83 , 1
74.875 , 0.20993928618 , 8 , 10 , 0.3 , 0.777871797182 , 0.4375 , -8.84839031434 , 1.57095059445 , 5100e08cc2a3754648f03b86 , 1
51.1111111111 , 0.194966031151 , 9 , 10 , 0.6 , 1.68877713035 , 0.277777777778 , -3.65154437894 , 1.57095059445 , 5100e2d4c2a3754648f03b89 , 1
61.7777777778 , 0.345089711768 , 9 , 9 , 0.2 , 1.36605801452 , 0.222222222222 , -4.56860090005 , 2.64160416787 , 5100ebbdc2a3754648f03b95 , 1
34.8333333333 , 0.151659357203 , 6 , 8 , 0.3 , 1.20018333748 , 0.166666666667 , -4.07450688036 , 0.954434002925 , 51012c88c2a3754648f03bd2 , 1
43.9 , 0.124011463641 , 10 , 11 , 0.1 , 0.957351112474 , 0.2 , -8.80587612939 , 1.095795255 , 51013ba0c2a3754648f03bd8 , 1
80.5714285714 , 0.328849410807 , 7 , 9 , 0.2 , 1.17390942934 , 0.142857142857 , -4.29744587382 , 2.19715972342 , 510140e4c2a3754648f03bdd , 1
43.1428571429 , 0.0721701961408 , 7 , 10 , 0.4 , 1.205298098 , 0.285714285714 , -4.15142510835 , 0.468995593589 , 5101470dc2a3754648f03be2 , 1
41.9230769231 , 0.250168472319 , 13 , 15 , 0.6 , 2.83204610201 , 0.153846153846 , -3.50747634077 , 2.20623892865 , 510157d1c2a3754648f03bf4 , 1
39.4666666667 , 0.101895158593 , 30 , 32 , 0.2 , 6.00652007941 , 0.433333333333 , -3.35432642454 , 0.597454723166 , 51015eaac2a3754648f03bf7 , 1
31.7142857143 , 0.145888789015 , 14 , 16 , 0.2 , 2.82148156866 , 0.214285714286 , -3.99656612982 , 0.696212260125 , 510165fac2a3754648f03bfc , 1
23.4375 , 0.270081667669 , 16 , 17 , 0.2 , 2.9702351622 , 0.25 , -4.19303462619 , 1.45166076436 , 51016710c2a3754648f03bfd , 1
46.8823529412 , 0.291844219472 , 17 , 18 , 0.8 , 3.13160842715 , 0.147058823529 , -3.48520796899 , 2.21329828206 , 51016b7bc2a3754648f03c01 , 1
41.7586206897 , 0.138784862253 , 29 , 32 , 0.5 , 6.00553577552 , 0.310344827586 , -3.71390093467 , 1.23729834482 , 510173e3c2a3754648f03c06 , 1
39.4166666667 , 0.233691506638 , 12 , 14 , 0.5 , 2.81026488755 , 0.166666666667 , -3.42386722953 , 1.75343438619 , 5101753ec2a3754648f03c08 , 1
53.3846153846 , 0.205308781002 , 13 , 15 , 0.3 , 2.80189011224 , 0.230769230769 , -3.92064192719 , 2.20623892865 , 51017e0fc2a3754648f03c0e , 1
32.5 , 0.205513565398 , 8 , 8 , 0.5 , 0.736835007735 , 0.1875 , -8.13911234255 , 1.2987949407 , 51017f93c2a3754648f03c11 , 1
43.1111111111 , 0.337146319951 , 9 , 12 , 0.6 , 1.60151577036 , 0.277777777778 , -3.81159129368 , 1.95914791703 , 51018050c2a3754648f03c12 , 1
30.3888888889 , 0.206332775142 , 18 , 18 , 0.3 , 2.80189011224 , 0.583333333333 , -4.99134772928 , 1.94553055604 , 51018161c2a3754648f03c13 , 1
82.5555555556 , 0.335783133145 , 9 , 10 , 0.2 , 0.864624728727 , 0.222222222222 , -7.07872197925 , 2.37095059445 , 5101889ac2a3754648f03c1d , 1
39.5384615385 , 0.228678532595 , 13 , 17 , 0.3 , 2.18599499914 , 0.269230769231 , -3.96003965937 , 2.46924078217 , 5101c1d7c2a3754648f03c56 , 1
37.0 , 0.158045302682 , 6 , 9 , 0.2 , 1.31404435679 , 0.25 , -5.01120229197 , 0.986426728731 , 5101cc40c2a3754648f03c61 , 1
