@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute CaptionPercentage real
@attribute PeopleNumber real
@attribute Duration real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute TheRatioOfPeopleToPhoto real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute ID string
@attribute label {1,-1}
@data
73.125 , 0.210452345587 , 0.888888888889 , 5 , -899 , 2.11345012298 , 0.333333333333 , 3.6566529312 , 2.63373142064 , 0.555555555556 , 0.190452345587 , 0.0901230125536 , 0.501021516952 , 51147ed6c2a3754cfe668af1 , 1
48.75 , 0.132000633418 , 0.75 , 15 , -1204 , 1.03951254227 , 0.277777777778 , 5.18084780877 , 2.4213152774 , 0.9375 , 0.112000633418 , 0.118635819837 , 0.719915227333 , 5114a33bc2a3754cfe66b985 , 1
47.8732394366 , 0.328724623899 , 0.946666666667 , 61 , -5905 , 1.21359213603 , 0.145539906103 , 5.04711108513 , 2.54029507791 , 0.813333333333 , 0.308724623899 , 0.214594225326 , 0.578989598268 , 51148712c2a3754cfe669570 , 1
57.8 , 0.344592499947 , 0.9375 , 13 , -934 , 1.77830348798 , 0.2 , 3.61390221715 , 2.91740581143 , 0.8125 , 0.324592499947 , 0.0953328741279 , 0.253376304536 , 511482e1c2a3754cfe668f78 , 1
30.0454545455 , 0.17169598073 , 0.916666666667 , 15 , -1105 , 2.85602869458 , 0.378787878788 , 3.88088064971 , 2.47606419505 , 0.625 , 0.15169598073 , 0.66851823489 , 0.640555934336 , 51147c8dc2a3754cfe6687f1 , 1
62.3170731707 , 0.195328298363 , 0.97619047619 , 36 , -4293 , 1.36387696242 , 0.219512195122 , 3.96707818263 , 2.33386490796 , 0.857142857143 , 0.175328298363 , 0.294532118792 , 0.90491134828 , 51148d4dc2a3754cfe669e6d , 1
45.8709677419 , 0.313600365268 , 0.815789473684 , 28 , -2596 , 1.89439962346 , 0.118279569892 , 4.53140076273 , 2.76872295871 , 0.736842105263 , 0.293600365268 , 0.0814577824178 , 0.407812533948 , 5114837ec2a3754cfe669027 , 1
47.8181818182 , 0.305411809242 , 0.6875 , 27 , -863 , 3.50567799116 , 0.121212121212 , 3.20830384402 , 3.0034177145 , 0.84375 , 0.285411809242 , 0.0469476321286 , 0.17078996675 , 51147bdbc2a3754cfe66874c , 1
42.1395348837 , 0.345317430119 , 0.877551020408 , 122 , -5387 , 2.39012289642 , 0.046511627907 , 5.42520021277 , 2.88963548633 , 0.829931972789 , 0.325317430119 , 0.118925385008 , 0.287883681603 , 51147a4fc2a3754cfe66858e , 1
40.5 , 0.0826829618854 , 1.0 , 3 , -638 , 0.733908772435 , 0.333333333333 , 8.86354820968 , 2.55805107654 , 0.375 , 0.0626829618854 , 0.107596038691 , 0.542483660131 , 511495abc2a3754cfe66a925 , 1
