@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute CaptionPercentage real
@attribute PeopleNumber real
@attribute PercentageOfStopwordsFromTopWords real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute TheRatioOfPeopleToPhoto real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute diff_AvgCaptionLen real
@attribute diff_TheRatioOfPeopleToPhoto real
@attribute event_id string
@attribute label {1,-1}
@data
32.5 , 0.126208366944 , 0.8 , 5 , 0.2 , 0.920549812777 , 0.5 , -3.64002545285 , 0.721928094887 , 1.0 , -0.115393121686 , 0.428571428571 , 0.930733209901 , -7.0 , 0.129032258065 , 5100c69ec2a3754648f03b67 , 1
32.6 , 0.217028859279 , 1.0 , 5 , 0.6 , 0.920923203405 , 0.2 , -3.66850653876 , 1.52192809489 , 1.0 , -0.0561063483187 , 0.0965517241379 , 0.565815273551 , -21.1931034483 , 0.121212121212 , 5100c8cfc2a3754648f03b6c , 1
37.6666666667 , 0.113206519339 , 0.818181818182 , 11 , 0.8 , 0.710674005077 , 0.222222222222 , -13.7106607214 , 0.439496986922 , 1.0 , -0.214166332887 , 0.0722222222222 , 0.588171353222 , -34.2333333333 , 0.047619047619 , 5100de63c2a3754648f03b83 , 1
74.875 , 0.20993928618 , 0.8 , 10 , 0.8 , 0.777871797182 , 0.25 , -10.133949199 , 1.57095059445 , 1.0 , -0.113220057485 , 0.175925925926 , 0.573811170386 , 10.5416666667 , 0.138888888889 , 5100e08cc2a3754648f03b86 , 1
51.1111111111 , 0.194966031151 , 0.9 , 10 , 0.8 , 1.68877713035 , 0.222222222222 , -3.65154437894 , 1.57095059445 , 1.0 , -0.125546244721 , 0.13601532567 , 0.307212378482 , -0.233716475096 , 0.0963855421687 , 5100e2d4c2a3754648f03b89 , 1
61.7777777778 , 0.345089711768 , 1.0 , 9 , 0.8 , 1.36605801452 , 0.222222222222 , -4.56860090005 , 2.64160416787 , 1.0 , -0.00476157551813 , 0.172222222222 , 0.374227599592 , 14.9777777778 , 0.104166666667 , 5100ebbdc2a3754648f03b95 , 1
34.8333333333 , 0.151659357203 , 0.75 , 8 , 0.8 , 1.20018333748 , 0.166666666667 , -4.07450688036 , 0.954434002925 , 1.0 , -0.0284618941844 , 0.0333333333333 , 0.224552004787 , -21.5 , 0.0344827586207 , 51012c88c2a3754648f03bd2 , 1
43.9 , 0.124011463641 , 0.909090909091 , 10 , 0.6 , 0.957351112474 , 0.2 , -8.80587612939 , 1.095795255 , 0.909090909091 , -0.170065136604 , 0.1 , 0.422610795403 , 4.35 , -0.00395256916996 , 51013ba0c2a3754648f03bd8 , 1
80.5714285714 , 0.328849410807 , 0.777777777778 , 9 , 0.4 , 1.17390942934 , 0.142857142857 , -4.29744587382 , 2.19715972342 , 1.0 , -0.0315313628605 , 0.0963455149502 , 0.362010257329 , 26.6411960133 , 0.0754716981132 , 510140e4c2a3754648f03bdd , 1
43.1428571429 , 0.0721701961408 , 0.7 , 10 , 0.8 , 1.205298098 , 0.285714285714 , -5.810765651 , 0.468995593589 , 1.0 , -0.197461488041 , 0.0683229813665 , 0.35007287871 , -1.81366459627 , 0.0 , 5101470dc2a3754648f03be2 , 1
