@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute AvgPhotoDis real
@attribute AvgPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PeopleNumber real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute TheRatioOfPeopleToPhoto real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute ID string
@attribute label {1,-1}
@data
48.75 , 0.132000633418 , 899.338529963 , 0.75 , 15 , 1.03951254227 , 0.277777777778 , 5.18084780877 , 2.4213152774 , 0.9375 , 0.112000633418 , 0.123776708145 , 0.719915227333 , 1.55938576743 , 1.13778602903 , 0.880338604113 , 3.0 , 0.666666666667 , 0.666666666667 , 5 , 3 , 3 , 5114a33bc2a3754cfe66b985 , 1
47.8732394366 , 0.328724623899 , 35438.098013 , 0.946666666667 , 61 , 1.21359213603 , 0.145539906103 , 5.04711108513 , 2.54029507791 , 0.813333333333 , 0.308724623899 , 0.220381390431 , 0.578989598268 , 1.08047775817 , 0.815038377691 , 0.159148067741 , 1.2 , 1.26315789474 , 2.25 , 20 , 19 , 4 , 51148712c2a3754cfe669570 , 1
57.8 , 0.344592499947 , 1316.14186846 , 0.9375 , 13 , 1.77830348798 , 0.2 , 3.61390221715 , 2.91740581143 , 0.8125 , 0.324592499947 , 0.0957392452539 , 0.253376304536 , 0.739252785219 , 0.685190770805 , 0.572217722753 , 2.5 , 3.33333333333 , 5.0 , 4 , 3 , 2 , 511482e1c2a3754cfe668f78 , 1
30.0454545455 , 0.17169598073 , 1862.77913952 , 0.916666666667 , 15 , 2.85602869458 , 0.378787878788 , 3.88088064971 , 2.47606419505 , 0.625 , 0.15169598073 , 0.66851823489 , 0.640555934336 , 3.96297142497 , 1.74634856161 , 0.283524684987 , 1.875 , 3.0 , 0.0 , 16 , 8 , 1 , 51147c8dc2a3754cfe6687f1 , 1
62.3170731707 , 0.195328298363 , 11024.0382239 , 0.97619047619 , 36 , 1.36387696242 , 0.19512195122 , 3.96707818263 , 2.33386490796 , 0.857142857143 , 0.175328298363 , 0.249669733336 , 0.90491134828 , 1.06323623597 , 0.95017982038 , 0.644150198131 , 2.90909090909 , 2.54545454545 , 4.0 , 11 , 11 , 6 , 51148d4dc2a3754cfe669e6d , 1
45.8709677419 , 0.313600365268 , 5821.97554896 , 0.815789473684 , 28 , 1.89439962346 , 0.118279569892 , 4.53140076273 , 2.76872295871 , 0.736842105263 , 0.293600365268 , 0.0822214535163 , 0.407812533948 , 0.951785618239 , 0.3273801458 , 0.247719212704 , 1.0 , 1.5 , 1.5 , 5 , 4 , 2 , 5114837ec2a3754cfe669027 , 1
47.8181818182 , 0.305411809242 , 3337.17338274 , 0.6875 , 27 , 3.50567799116 , 0.121212121212 , 3.20830384402 , 3.0034177145 , 0.84375 , 0.285411809242 , 0.0492408695106 , 0.17078996675 , 0.504035989922 , 0.304288301074 , 0.283524684987 , 2.0 , 2.0 , 3.5 , 3 , 3 , 2 , 51147bdbc2a3754cfe66874c , 1
42.1395348837 , 0.345317430119 , 106674.260013 , 0.877551020408 , 122 , 2.39012289642 , 0.046511627907 , 5.42520021277 , 2.88963548633 , 0.829931972789 , 0.325317430119 , 0.117356443691 , 0.287883681603 , 0.24176523526 , 0.144772934939 , 0.140819104951 , 2.0 , 0.571428571429 , 1.42857142857 , 7 , 7 , 7 , 51147a4fc2a3754cfe66858e , 1
44.380952381 , 0.302982726235 , 12308.3583417 , 0.875 , 37 , 2.35189042161 , 0.126984126984 , 4.24604537903 , 2.70662680747 , 0.770833333333 , 0.282982726235 , 0.14020624305 , 0.517596588519 , 1.00920358549 , 0.274024230674 , 0.259480271873 , 1.14285714286 , 4.85714285714 , 4.25 , 7 , 7 , 4 , 51147f9ac2a3754cfe668c31 , 1
81.875 , 0.346093306403 , 1641.85758963 , 1.0 , 11 , 0.920137957901 , 0.270833333333 , 6.61400870629 , 2.80385618977 , 0.6875 , 0.326093306403 , 0.145715239663 , 0.364444444444 , 1.84408463534 , 1.26962229632 , 1.1064507812 , 5.8 , 5.8 , 6.0 , 5 , 5 , 3 , 51148bb1c2a3754cfe669ba2 , 1
50.0322580645 , 0.398950737245 , 6391.01237832 , 0.96875 , 27 , 1.79068994806 , 0.0645161290323 , 4.86801329445 , 2.5751157903 , 0.84375 , 0.378950737245 , 0.0360272081579 , 0.635255311949 , 0.390659452446 , 0.245414820278 , 0.232160370328 , 2.0 , 0.0 , 3.5 , 2 , 2 , 2 , 51147d13c2a3754cfe6688a6 , 1
51.7142857143 , 0.252531615665 , 16948.7713252 , 0.859649122807 , 41 , 0.951286709564 , 0.102040816327 , 6.15304147896 , 2.50954980663 , 0.719298245614 , 0.232531615665 , 0.119656390038 , 0.643849755845 , 0.646779382614 , 0.505776451453 , 0.333617492409 , 1.07142857143 , 1.0 , 3.4 , 14 , 12 , 5 , 51148bb8c2a3754cfe669bd6 , 1
49.1034482759 , 0.313527496025 , 4356.04120873 , 0.935483870968 , 22 , 2.69705812532 , 0.114942528736 , 3.76190156137 , 2.65619833281 , 0.709677419355 , 0.293527496025 , 0.0640147246653 , 0.495264014536 , 0.566801567428 , 0.531613529073 , 0.378344093805 , 0.0 , 0.333333333333 , 2.33333333333 , 4 , 3 , 3 , 51148f62c2a3754cfe66a1b7 , 1
49.4242424242 , 0.308112380688 , 7207.1735159 , 0.868421052632 , 34 , 4.14656968829 , 0.10101010101 , 3.44125382264 , 2.89791336752 , 0.894736842105 , 0.288112380688 , 0.063302651719 , 0.299808456569 , 0.320360520614 , 0.274424294985 , 0.271496069827 , 0.75 , 1.33333333333 , 6.66666666667 , 4 , 3 , 3 , 51147bc6c2a3754cfe668728 , 1
49.75 , 0.0734719808586 , 347.929272624 , 0.888888888889 , 8 , 0.880226838511 , 0.416666666667 , 7.87438548496 , 2.70290433719 , 0.888888888889 , 0.0534719808586 , 0.172840444292 , 0.433937141972 , 2.72454285467 , 2.27070806734 , 0.779692883713 , 1.42857142857 , 1.66666666667 , 2.33333333333 , 7 , 3 , 3 , 51148c29c2a3754cfe669ce4 , 1
43.40625 , 0.24516583881 , 57964.6517881 , 0.932038834951 , 96 , 5.75981729468 , 0.0868055555556 , 4.54465599865 , 2.36883802225 , 0.932038834951 , 0.22516583881 , 0.176564667934 , 0.787565295318 , 0.504601792743 , 0.405805964954 , 0.379744432997 , 2.33333333333 , 2.7 , 1.11111111111 , 12 , 10 , 9 , 511479acc2a3754cfe668542 , 1
42.1724137931 , 0.217805551187 , 4985.26441619 , 0.935483870968 , 25 , 1.07558102931 , 0.172413793103 , 6.7012345227 , 2.51652998853 , 0.806451612903 , 0.197805551187 , 0.170466860592 , 0.66290563475 , 1.10939468945 , 0.77927674549 , 0.643989951971 , 3.5 , 2.6 , 3.6 , 6 , 5 , 5 , 51148da1c2a3754cfe669ef9 , 1
70.4210526316 , 0.235979815001 , 2411.40768862 , 1.0 , 17 , 1.51765030688 , 0.245614035088 , 4.7951185022 , 2.70632201408 , 0.894736842105 , 0.215979815001 , 0.134215604392 , 0.459191110111 , 1.02519401673 , 0.891802751473 , 0.880834555739 , 3.8 , 4.4 , 1.4 , 5 , 5 , 5 , 51148d4fc2a3754cfe669e7a , 1
43.6031746032 , 0.213467849431 , 25577.4959247 , 0.954545454545 , 33 , 1.17851532484 , 0.259259259259 , 6.31685100617 , 2.10823318858 , 0.5 , 0.193467849431 , 0.489407632477 , 0.998998983822 , 1.43433066741 , 0.915482450867 , 0.605453967704 , 1.90909090909 , 2.09090909091 , 2.0 , 22 , 22 , 15 , 51148777c2a3754cfe669601 , 1
